"","불량","adress","contents","time","money","career","sex","age","education","employment","personnel","period","week","close","detail_adress","realtime"
"15",1,"정읍시 상동","웅진씽크빅 정읍지국센터수학전문교사 및 방문교사모집(동종업계경력우대)","13:00~20:00","월급2,000,000","무관(신입+경력)","성별무관","연령무관 ","대학(2,3년)졸업 이상","위촉직(프리랜서)","3명","1년이상","월~금","2019년 5월 3일(금) ~ 2019년 5월 8일(수)
D-DAY 내일 ","전북 정읍시 충정로 80<U+00A0>연파빌딩2층 정화약국2층<U+00A0>전북 정읍시 상동","7"
"16",1,"전주시 평화동1","경일건설인력(숙식제공)당일지급 12만원 왕초보가능 건설현장 동반가능","08:00~17:30","일급120,000","무관(신입+경력)","성별무관","23세(1997년생) ~ 45세(1975년생) 미성년자 불가","학력무관","아르바이트, 계약직, 파견직, 인턴직","00명 (100명 미만)","1개월~3개월","주6일","2019년 5월 7일(화) ~ 상시모집","숙식제공 당일지급<U+00A0>숙식제공 당일지급 기숙사제공<U+00A0>전북 전주시 완산구 평화동1가","9.5"
"17",1,"전주시 송천동2","나비테라피[전북전주시] /급구/스웨디시아로마 관리사구함~배우면서 일","00:00~24:00","월급4,000,000","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트, 정규직, 계약직","0명 (10명 미만)","1년이상","월~일 (요일협의가능)","2019년 5월 6일(월) ~ 상시모집","전북 전주시 덕진구 붓내3길 14<U+00A0>2층<U+00A0>전북 전주시 덕진구 송천동2가","24"
"18",1,"전주시 평화동2","크라운호프 전주평화점크라운호프 전주평화점 평일,주말아르바이트 구합니다.","19:00~01:00","시급8,700","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","3개월~6개월 (기간협의가능)","월~일","2019년 5월 5일(일) ~ 상시모집","전북 전주시 완산구 평화10길 2<U+00A0>1층크라운호프<U+00A0>전북 전주시 완산구 평화동2가","18"
"19",1,"익산시 모현동2","일급건설인력고소득 자재정리(숙식제공)당일지급 12만원 친구동반가능 초","08:00~17:30","일급120,000","무관(신입+경력)","성별무관","24세(1996년생) ~ 43세(1977년생) 미성년자 불가","학력무관","아르바이트, 계약직, 파견직, 인턴직","00명 (100명 미만)","1개월~3개월","주6일","2019년 5월 7일(화) ~ 상시모집","숙식제공 당일지급<U+00A0>숙식제공 당일지급 기숙사제공<U+00A0>전북 익산시 모현동2가","9.5"
"20",1,"군산시 나운동","일급건설인력고소득 자재정리(숙식제공)당일지급 12만원 친구동반가능 초","08:00~17:30","일급120,000","무관(신입+경력)","성별무관","24세(1996년생) ~ 43세(1977년생) 미성년자 불가","학력무관","아르바이트, 계약직, 파견직, 인턴직","00명 (100명 미만)","1개월~3개월","주6일","2019년 5월 7일(화) ~ 상시모집","숙식제공 당일지급<U+00A0>숙식제공 당일지급 기숙사제공<U+00A0>전북 군산시 나운동","9.5"
"21",1,"정읍시 전체","대교 눈높이 정읍HL사업국정읍 눈높이HL사업국 눈높이교사모집","11:00~20:00","월급2,300,000","무관(신입+경력)","성별무관","연령무관 ","대학(2,3년)졸업 이상","계약직","1명","1년이상","주5일","2019년 5월 3일(금) ~ 상시모집","전북 정읍시 중앙1길 30 4F<U+00A0>4F<U+00A0>전북 정읍시 전체","9"
"22",1,"전주시 효자동3","GS25전북도청점GS25 전북도청점 스토어매니저 모집","00:00~08:00","시급8,350","무관(신입+경력)","성별무관","연령무관  청소년 가능","학력무관","아르바이트","1명","1년이상 (기간협의가능)","주말","2019년 5월 4일(토) ~ 상시모집","전북 전주시 완산구 홍산남로 51, 104호<U+00A0><U+00A0>전북 전주시 완산구 효자동3가","8"
"23",1,"전주시 송천동2","(주)비커넥티드유진전직원급여250이상/초보및경력자우대/친구와함께/LGU+본사/장","09:30~06:00","월급2,500,000","신입","성별무관","20세(2000년생) ~ 30세(1990년생) 미성년자 불가","학력무관","정규직, 계약직, 인턴직","6명","1개월~3개월 (수습기간있음, 기간협의가능)","주5일","2019년 5월 7일(화) ~ 상시모집","전북 전주시 덕진구 솔내로 184<U+00A0>1층 엘지유플러스<U+00A0>전북 전주시 덕진구 송천동2가","2.5"
"24",1,"전주시 효자동2","소망제일주유소【 급구 】효자동 GS소망제일주유소 직원모집","08:00~18:00","시급8,350","무관(신입+경력)","남자","26세(1994년생) ~ 60세(1960년생) 고연령자 가능 미성년자 불가","학력무관","아르바이트, 정규직","0명 (10명 미만)","6개월~1년 (기간협의가능)","월~일 (요일협의가능 : 근무일,휴무일 협의가능)","2019년 5월 7일(화) ~ 상시모집","전북 전주시 완산구 쑥고개로 283<U+00A0>(소망제일주유소)- 동암고,박물관사이<U+00A0>전북 전주시 완산구 효자동2가","10"
