"1","군산시 전체","한솔교육 군산지점2019 국내대표교육기업 한솔교육 남다른 교육철학과 근무혜택","13:00~20:00","월급1,745,150","12분전","무관(신입+경력)","성별무관","25세(1995년생) ~ 45세(1975년생) 미성년자 불가","대학(2,3년)졸업 이상","위촉직(프리랜서)","0명 (10명 미만)","1년이상","월~금","2019년 5월 10일(금) ~ 상시모집","전북 군산시 수송1길 17<U+00A0>푸른빌딩 4층 한솔교육<U+00A0>전북 군산시 전체"
"1","전주시 효자동2","신포우리만두 도청점【급 구 /강력추천 】 주방직원 및주말  홀알바 급구함","17:00~21:30","시급8,350","13분전","무관(신입+경력)","여자","21세(1999년생) ~ 50세(1970년생) 미성년자 불가","학력무관","아르바이트, 정규직, 계약직","0명 (10명 미만)","3개월~6개월 (기간협의가능)","주6일 (요일협의가능)","2019년 5월 7일(화) ~ 상시모집","전북 전주시 완산구 홍산남로 52<U+00A0>1155-3<U+00A0>전북 전주시 완산구 효자동2가"
"1","군산시 수송동","국선생냉면 화요옥평일 오전, 주말 오전 오후 홀서빙및 주말주방보조 구합니다","10:00~21:00","시급8,350","14분전","경력(1년 이상)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","1년이상 (수습기간있음)","주말","2019년 5월 9일(목) ~ 상시모집","전북 군산시 신평길 18<U+00A0>국선생냉면<U+00A0>전북 군산시 수송동"
"1","전주시 고사동","이랜드파크 외식사업부 수사[문자지원요망]수사 NC 전주점에서 직원을 모집합니다(시급 ","10:00~15:30","시급8,350","16분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","6개월~1년","주말","2019년 5월 9일(목) ~ 상시모집","전북 전주시 완산구 전주객사5길 35<U+00A0>(엔떼피아) NC웨이브 전주객사점 A관 3층 수사(SOOSA)<U+00A0>전북 전주시 완산구 고사동"
"1","군산시 전체","(주)에이치알가온누리군산/주간고정/연3000이상/한국유리(한국글레이징)인원채용.","08:30~17:30","연봉32,000,000","16분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","정규직","1명","1년이상","월~금","2019년 5월 10일(금) ~ 상시모집","전북 군산시 산단동서로 138<U+00A0>(HR가온누리)<U+00A0>전북 군산시 전체"
"1","전주시 완산구","맥도날드 전주 효자 DT맥도날드 전주효자DT점에서 같이 일할 크루, 라이더를 모집합","시간협의","시급8,350","17분전","성별 성별무관","연령 연령무관 ","학력 학력무관","","아르바이트","00명 (100명 미만)","1년이상 (기간협의가능)","요일협의","2019년 5월 8일(수) ~ 2019년 5월 21일(화)","홈페이지www.mcalba.co.kr/m/appstrap/recruit_view.asp?idx=402547"
"1","전주시 완산구","맥도날드 전주 효자 DT맥도날드 전주효자DT점에서 같이 일할 크루, 라이더를 모집합","시간협의","시급8,350","17분전","성별 성별무관","연령 연령무관 ","학력 학력무관","","아르바이트","00명 (100명 미만)","1년이상 (기간협의가능)","요일협의","2019년 5월 8일(수) ~ 2019년 5월 21일(화)","홈페이지www.mcalba.co.kr/m/appstrap/recruit_view.asp?idx=402548"
"1","정읍시 맥도날드","맥도날드 전북정읍DT맥도날드 전북정읍DT점 크루모집","시간협의","시급8,350","17분전","성별 성별무관","연령 연령무관 ","학력 학력무관","","아르바이트","00명 (100명 미만)","1년이상 (기간협의가능)","요일협의","2019년 5월 9일(목) ~ 2019년 5월 22일(수)","홈페이지www.mcalba.co.kr/m/appstrap/recruit_view.asp?idx=402730"
"1","익산시 남중동","익산어울림주말야간근무자 구합니다","00:00~07:00","시급8,350","19분전","무관(신입+경력)","남자","20세(2000년생) ~ 26세(1994년생) 미성년자 불가","고등학교 졸업 이상","아르바이트","1명","6개월~1년","주말","2019년 5월 7일(화) ~ 2019년 5월 13일(월)
D-DAY 2 ","전북 익산시 인북로 324<U+00A0>GS25익산어울림<U+00A0>전북 익산시 남중동"
"1","익산시 전체","세븐일레븐 익산고속터미널점평일주간근무자 구함","17:00~20:00","시급8,350","20분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 65세(1955년생) 고연령자 가능 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","1년이상 (수습기간있음)","월~금","2019년 5월 9일(목) ~ 상시모집","전북 익산시 익산대로 56<U+00A0>(고속버스터미널)<U+00A0>전북 익산시 전체"
