"1","전주시 효자동3","더본코리아 한신포차 전북도청점한신포차 도청점에서 홀아르바이트 구합니다.","20:00~06:00","시급8,400","10분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 30세(1990년생) 미성년자 불가","고등학교 졸업 이상","아르바이트, 정규직, 계약직","00명 (100명 미만)","3개월~6개월 (기간협의가능)","주6일 (요일협의가능)","2019년 5월 6일(월) ~ 2019년 5월 26일(일)","전북 전주시 완산구 효자동3가<U+00A0>1536-2<U+00A0>전북 전주시 완산구 효자동3가"
"1","전주시 효자동3","CJ대한통운택배【   급  구  /시급8500   】 택배상하차 구함","07:00~12:00","시급8,500","10분전","무관(신입+경력)","남자","21세(1999년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","3개월~6개월","월~토 (요일협의가능 : 협의후결정)","2019년 5월 1일(수) ~ 상시모집","전북 전주시 완산구 콩쥐팥쥐로 1705-124<U+00A0>.<U+00A0>전북 전주시 완산구 효자동3가"
"1","익산시 부송동","코웨이전북사업국【코웨이전북사업국】 상담 및 고객관리 직원 모집","10:00~00:00","월급2,500,000","10분전","무관(신입+경력)","성별무관","23세(1997년생) ~ 60세(1960년생) 고연령자 가능 미성년자 불가","학력무관","위촉직(프리랜서)","00명 (100명 미만)","1년이상 (기간협의가능)","월~금","2019년 4월 15일(월) ~ 상시모집","전북 익산시 무왕로 1182<U+00A0>(청담빌딩3층)<U+00A0>전북 익산시 부송동"
"1","군산시 구암동","군산식자재마트【급 구 /강력추천】카운  /공산품/ 야체코너 /주방 /경리  ","09:00~18:00","시급8,350","10분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트, 정규직, 계약직","0명 (10명 미만)","1년이상 (기간협의가능)","월~일 (요일협의가능)","2019년 4월 8일(월) ~ 상시모집","전북 군산시 구암3.1로 204<U+00A0>구암동<U+00A0>전북 군산시 구암동"
"1","군산시 수송동","피자헛 군산수송점[피자헛군산수송점] 함께하면 더 즐거운 피자헛에서 팀원을 ","09:00~23:00 (로테이션)","시급8,350","13분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","8명","6개월~1년 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 1일(수) ~ 상시모집","전북 군산시 수송6길 22<U+00A0>(수송동) 피자헛<U+00A0>전북 군산시 수송동"
"1","전주시 인후동1","이마트24 전주인후부영점이마트 24시,  주말(오전7시~오후16시까지) 알바를 구합니다","07:00~16:00","시급8,350","15분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 50세(1970년생) 미성년자 불가","학력무관","아르바이트","1명","6개월~1년","주말 (요일협의가능)","2019년 5월 7일(화) ~ 상시모집","전북 전주시 덕진구 석소로 5-16<U+00A0>센트라스  이마트24 편의점(위드미)<U+00A0>전북 전주시 덕진구 인후동1가"
"1","익산시 부송동","지금보고싶다[주중/주말 홀스탭 모집]지금보고싶다 부송점 함께 일하실분","20:00~03:00","시급8,500","15분전","무관(신입+경력)","여자","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","6개월~1년 (기간협의가능)","월~토","2019년 5월 7일(화) ~ 상시모집","전북 익산시 하나로10길 75-3<U+00A0>(부송동)<U+00A0>전북 익산시 부송동"
"1","군산시 나운동","대교 눈높이 나운 러닝센터나운동 센터교사 모집","11:00~21:00","월급2,500,000","17분전","무관(신입+경력)","성별무관","23세(1997년생) ~ 38세(1982년생) 미성년자 불가","학력무관","계약직","1명","1년이상","월~금","2019년 5월 7일(화) ~ 2019년 5월 27일(월)","전북 군산시 하나운로 28<U+00A0>세경상가3층<U+00A0>전북 군산시 나운동"
"1","전주시 효자동2","카마트모터스[자유근무/능력제] 내생에28일 다이어트 홍보사원 모집","09:00~16:00","건별40,000","21분전","무관(신입+경력)","성별무관","연령무관  고연령자 가능","학력무관","아르바이트","0명 (10명 미만)","1년이상 (기간협의가능)","주5일 (요일협의가능)","2019년 5월 7일(화) ~ 상시모집","전북 전주시 완산구 용호로 77<U+00A0>(효자동2가) 다와빌딩 4층<U+00A0>전북 전주시 완산구 효자동2가"
"1","군산시 나운동","롯데리아 군산나운점롯데리아 군산나운점 아르바이트모집","09:00~23:00 (로테이션)","시급8,350","22분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트, 정규직, 계약직","0명 (10명 미만)","6개월~1년","월~일 (요일협의가능)","2019년 5월 5일(일) ~ 상시모집","전북 군산시 나운안1길 1<U+00A0>(나운동)<U+00A0>전북 군산시 나운동"
"1","군산시 나운동","롯데리아 군산나운점롯데리아 군산나운점 아르바이트모집","09:00~23:00 (로테이션)","시급8,350","22분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트, 정규직, 계약직","0명 (10명 미만)","6개월~1년","월~일 (요일협의가능)","2019년 5월 5일(일) ~ 상시모집","전북 군산시 나운안1길 1<U+00A0>(나운동)<U+00A0>전북 군산시 나운동"
"1","군산시 나운동","롯데리아 군산나운점롯데리아 군산나운점 아르바이트모집","09:00~23:00 (로테이션)","시급8,350","23분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트, 정규직, 계약직","0명 (10명 미만)","6개월~1년","월~일 (요일협의가능)","2019년 5월 5일(일) ~ 상시모집","전북 군산시 나운안1길 1<U+00A0>(나운동)<U+00A0>전북 군산시 나운동"
"1","전주시 덕진동1","(주)드림물류일당 최대 13만원 야간물류센터 일당아르바이트 大모집","20:00~06:00","일급130,000","24분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","아르바이트, 정규직, 계약직, 파견직, 인턴직","00명 (100명 미만)","3개월~6개월 (기간협의가능)","월~일","2019년 5월 6일(월) ~ 상시모집","전북 전주시 덕진구 덕진광장로 3<U+00A0>(시외버스덕진간이정류소)<U+00A0>전북 전주시 덕진구 덕진동1가"
"1","전주시 효자동1","동대문엽기떡볶이월~목 (오후5~11시) 알바생구합니다","17:00~23:00","시급8,350","30분전","무관(신입+경력)","여자","20세(2000년생) ~ 23세(1997년생) 미성년자 불가","학력무관","아르바이트","1명","6개월~1년","월, 화, 수, 목요일","2019년 5월 7일(화) ~ 2019년 5월 20일(월)","전북 전주시 완산구 거마평로 169<U+00A0>1층 동대문엽기떡볶이<U+00A0>전북 전주시 완산구 효자동1가"
"1","익산시 모현동1","익산모현스타벅스 익산모현점 바리스타 채용","07:00~24:00 (로테이션)","시급8,500","31분전","무관(신입+경력)","성별무관","연령무관 ","고등학교 졸업 이상","정규직","0명 (10명 미만)","1년이상","주5일","2019년 5월 7일(화) ~ 상시모집","전북 익산시 선화로 106<U+00A0>스타벅스 익산모현점<U+00A0>전북 익산시 모현동1가"
"1","완주군 봉동읍","채선당 불고기 쌈밥  전북봉동점아르바이트모집","11:00~15:00 (로테이션)","시급8,350","32분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","1년이상","주6일 (요일협의가능 : 시간협의가능)","2019년 5월 6일(월) ~ 상시모집","전북 완주군 봉동읍 과학로 1025<U+00A0>채선당<U+00A0>전북 완주군 봉동읍"
"1","완주군 봉동읍","채선당 불고기 쌈밥  전북봉동점아르바이트모집","11:00~15:00 (로테이션)","시급8,350","32분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","1년이상","주6일 (요일협의가능 : 시간협의가능)","2019년 5월 6일(월) ~ 상시모집","전북 완주군 봉동읍 과학로 1025<U+00A0>채선당<U+00A0>전북 완주군 봉동읍"
"1","전주시 서노송동","전주시청U+정규직/통신비/식대/교통비5/14_5/17면접선택-면접비지급/101번접수응대/정시퇴근/통근","09:00~18:00","월급3,000,000","33분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 41세(1979년생) 미성년자 불가","고등학교 졸업 이상","아르바이트, 정규직","30명","6개월~1년 (기간협의가능)","주5일","2019년 5월 6일(월) ~ 2019년 5월 13일(월)
D-DAY 6 ","전북 전주시 완산구 기린대로 213<U+00A0>(대우빌딩)16층<U+00A0>전북 전주시 완산구 서노송동"
"1","전주시 서신동","(주)기쁨사랑물류남,녀 (야간택배) 최대14만원 정말쉬운 홈쇼핑택배 아르바이","20:00~06:00","일급140,000","33분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","00명 (100명 미만)","1주일~1개월 (근무날짜: 9월 3일 ~ 10월 3일)","월~일 (요일협의가능 : 1일근무가능(근무기간 선택))","2019년 5월 7일(화) ~ 상시모집","충북 옥천군 이원면 건진2길 65<U+00A0>(건진리)<U+00A0>전북 전주시 완산구 서신동"
"1","군산시 전체","CJ택배/회사차량지원/지입X/선수금X[월500]지나면 다시 오지 않을 오늘, 도전하세요","08:00~18:00","월급4,500,000","34분전","무관(신입+경력)","성별무관","22세(1998년생) ~ 58세(1962년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 파견직","3명","1년이상","월~토","2019년 5월 6일(월) ~ 2019년 5월 8일(수)
D-DAY 내일 ","전북 군산시 시청로 17<U+00A0>(군산시청)<U+00A0>전북 군산시 전체"
"1","전주시 평화동2","웅진씽크빅 남전주지국웅진씽크빅 남전주지국에서 씽크빅 선생님을 모십니다.(센터","14:00~20:00","월급2,000,000","37분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","3명","1년이상","월~금","2019년 5월 7일(화) ~ 상시모집","전북 전주시 완산구 모악로 4692<U+00A0>덕수빌딩4층 씽크빅남전주지국<U+00A0>전북 전주시 완산구 평화동2가"
"1","익산시 부송동","풀무원녹즙익산가맹점풀무원녹즙 모닝스텝 여성구인","08:00~12:00","월급1,000,000","40분전","무관(신입+경력)","여자","35세(1985년생) ~ 50세(1970년생) 미성년자 불가","고등학교 졸업 이상","정규직","1명","1년이상","주5일","2019년 5월 7일(화) ~ 상시모집","전북 익산시 부송동<U+00A0>1045-3번지<U+00A0>전북 익산시 부송동"
"1","전주시 효자동3","123막창전주효자점123막창 전주효자점에서 홀 파트타임 모집합니다.","18:00~22:00","시급8,500","46분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 40세(1980년생) 미성년자 불가","학력무관","아르바이트, 정규직","0명 (10명 미만)","6개월~1년","주6일 (요일협의가능)","2019년 5월 6일(월) ~ 상시모집","전북 전주시 완산구 홍산북로 45-18<U+00A0>(효자동3가)<U+00A0>전북 전주시 완산구 효자동3가"
"1","정읍시 맥도날드","맥도날드 전북정읍DT정읍점 배달직원 모집","시간협의","시급8,350","49분전","성별 성별무관","연령 연령무관 ","학력 학력무관","","아르바이트","00명 (100명 미만)","1년이상 (기간협의가능)","요일협의","2019년 5월 7일(화) ~ 2019년 5월 14일(화)
D-DAY 7 ","홈페이지www.mcalba.co.kr/m/appstrap/recruit_view.asp?idx=402527"
"1","정읍시 맥도날드","맥도날드 전북정읍DT전북정읍 매장에서 근무하실 사원 모집","시간협의","시급8,350","49분전","성별 성별무관","연령 연령무관 ","학력 학력무관","","아르바이트","00명 (100명 미만)","1년이상 (기간협의가능)","요일협의","2019년 5월 7일(화) ~ 2019년 5월 12일(일)
D-DAY 5 ","홈페이지www.mcalba.co.kr/m/appstrap/recruit_view.asp?idx=402525"
"1","익산시 영등동","크리스피크림도넛  익산영등점크리스피크림 영등점 주말 알바모집","11:00~09:00","시급8,350","50분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","00명 (100명 미만)","6개월~1년 (기간협의가능)","일요일","2019년 5월 7일(화) ~ 상시모집","전북 익산시 영등동 770-7<U+00A0>1층 크리스피크림<U+00A0>전북 익산시 영등동"
"1","군산시 전체","게스진군산 롯데몰 게스진과 함께할 직원을 모집합니다","10:00~21:00","월급2,200,000","52분전","경력(1년 이상)","여자","25세(1995년생) ~ 40세(1980년생)","학력무관","계약직","2명","6개월~1년 (기간협의가능)","주6일","2019년 5월 6일(월) ~ 상시모집","전북 군산시 조촌로 130<U+00A0><U+00A0>전북 군산시 전체"
"1","완주군 봉동읍","채선당 불고기 쌈밥  전북봉동점아르바이트모집","11:00~15:00 (로테이션)","시급8,350","54분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","1년이상","주6일 (요일협의가능 : 시간협의가능)","2019년 5월 4일(토) ~ 상시모집","전북 완주군 봉동읍 과학로 1025<U+00A0>채선당<U+00A0>전북 완주군 봉동읍"
