"1","전주시 전체","오빌직업소개소삼성반도체 평택현장 악섹스 풀로어 인원모집","07:30~17:30","일급130,000","31분전","무관(신입+경력)","남자","23세(1997년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","아르바이트","00명 (100명 미만)","1년이상","월~토","2019년 5월 9일(목) ~ 상시모집","경기 화성시 삼성전자로 1<U+00A0>(삼성전자(주))<U+00A0>전북 전주시 덕진구 전체"
"1","전주시 서신동","교원웰스 S전주(남원) 주부에게 딱 알맞은 일자리 교원 웰스플래너 모집","09:00~18:00","건별170,000","32분전","무관(신입+경력)","여자","연령무관  고연령자 가능","학력무관","위촉직(프리랜서)","00명 (100명 미만)","1년이상","주3일","2019년 5월 8일(수) ~ 상시모집","전북 전주시 완산구 온고을로 1<U+00A0>13층 (한국교직원공제회전북회관)<U+00A0>전북 전주시 완산구 서신동"
"1","익산시 신동","맥도날드 익산원광대점익산원광대점에서 함께 근무하실 크루&라이더들을 모집합니다","시간협의","시급8,350","33분전","성별 성별무관","연령 연령무관 ","학력 학력무관","","아르바이트","00명 (100명 미만)","1년이상 (기간협의가능)","요일협의","2019년 5월 8일(수) ~ 2019년 5월 21일(화)","홈페이지www.mcalba.co.kr/m/appstrap/recruit_view.asp?idx=402569"
"1","전주시 덕진동2","CU 하가중앙점평일 18시-23시 스텝구합니다.","18:00~23:00","시급8,350","35분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","3개월~6개월","월~금","2019년 5월 9일(목) ~ 2019년 5월 23일(목)","전북 전주시 덕진구 가리내4길 11<U+00A0>CU하가중앙점<U+00A0>전북 전주시 덕진구 덕진동2가"
"1","전주시 서신동","교원웰스 S전주(전주)주부에게 딱 알맞은 일자리 교원 웰스플래너 모집","09:00~18:00","건별170,000","38분전","무관(신입+경력)","여자","연령무관  고연령자 가능","학력무관","위촉직(프리랜서)","00명 (100명 미만)","1년이상","주3일 (요일협의가능)","2019년 5월 8일(수) ~ 상시모집","전북 전주시 완산구 온고을로 1<U+00A0>13층 교직원공제회전북회관)<U+00A0>전북 전주시 완산구 서신동"
"1","전주시 진북동","한솔교육전주중앙지점놀이수업 한글.수학.영어 교사 모집-한솔교육","14:00~21:00","월급2,000,000","41분전","무관(신입+경력)","여자","24세(1996년생) ~ 45세(1975년생) 미성년자 불가","대학(2,3년)졸업 이상","위촉직(프리랜서)","2명","1년이상","월~금","2019년 5월 8일(수) ~ 2019년 5월 28일(화)","전북 전주시 덕진구 팔달로 334<U+00A0>(알리안츠생명) 5층 한솔교육 전주영어<U+00A0>전북 전주시 덕진구 진북동"
"1","익산시 영등동","빽다방 익산영등제일점빽다방 익산영등제일점 알바 모집합니다.","18:00~22:30","시급8,350","43분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","6개월~1년","월~금","2019년 5월 5일(일) ~ 상시모집","전북 익산시 영등동 766-2<U+00A0>빽다방 익산영등제일점<U+00A0>전북 익산시 영등동"
"1","익산시 모현동1","SK매직 익산지국SK매직 익산지국 MC(매직케어)모집","09:00~18:00","건별2,700,000","43분전","무관(신입+경력)","성별무관","25세(1995년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","위촉직(프리랜서)","0명 (10명 미만)","1년이상","월~토(토요일 격주휴무)","2019년 5월 8일(수) ~ 상시모집","전북 익산시 배산로 161<U+00A0>(이레빌딩)<U+00A0>전북 익산시 모현동1가"
"1","전주시 진북동","한솔교육전주중앙지점놀이수업 한글,수학 교사모집-한솔교육 전주중앙지점","10:00~21:00","월급1,500,000","44분전","무관(신입+경력)","여자","25세(1995년생) ~ 45세(1975년생) 미성년자 불가","대학(2,3년)졸업 이상","위촉직(프리랜서)","1명","1년이상","월~금","2019년 5월 8일(수) ~ 2019년 5월 28일(화)","전북 전주시 덕진구 팔달로 334<U+00A0>한솔교육 4층<U+00A0>전북 전주시 덕진구 진북동"
"1","전주시 전체","(주)현대렌탈케어 전주지국정수기 필터교체 매니저 모집 (초보환영)","09:00~18:00","월급2,500,000","46분전","무관(신입+경력)","성별무관","30세(1990년생) ~ 49세(1971년생) 미성년자 불가","학력무관","위촉직(프리랜서)","2명","1년이상","주5일","2019년 5월 9일(목) ~ 2019년 5월 14일(화)
D-DAY 5 ","전북 전주시 덕진구 동부대로 375<U+00A0>1층 현대렌탈케어<U+00A0>전북 전주시 완산구 전체"
"1","전주시 서노송동","전주시청U+정규직/통신비/식대/교통비5/14_5/17면접선택-면접비지급/101번접수응대/정시퇴근/통근","09:00~18:00","월급3,000,000","47분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 41세(1979년생) 미성년자 불가","고등학교 졸업 이상","아르바이트, 정규직","30명","6개월~1년 (기간협의가능)","주5일","2019년 5월 9일(목) ~ 2019년 5월 13일(월)
D-DAY 4 ","전북 전주시 완산구 기린대로 213<U+00A0>(대우빌딩)16층<U+00A0>전북 전주시 완산구 서노송동"
