"1","전주시 효자동2","홍루몽【추천/일하고싶은곳】 【 홀서빙 (남/여)직원 구함 】","10:00~22:00","시급8,350","6분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트, 정규직, 계약직","0명 (10명 미만)","6개월~1년 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 8일(수) ~ 2019년 5월 14일(화)
D-DAY 6 ","전북 전주시 완산구 우전로 255<U+00A0>1233-2  (홍루몽)<U+00A0>전북 전주시 완산구 효자동2가"
"1","전주시 서노송동","인바운드/최고복리[lgu+ 정규직/주5일] 전주시청/면접비지급","09:00~18:00","월급2,500,000","7분전","무관(신입+경력)","성별무관","연령무관 ","고등학교 졸업 이상","정규직","00명 (100명 미만)","1년이상","월~금","2019년 5월 8일(수) ~ 2019년 5월 17일(금)","전북 전주시 완산구 기린대로 213<U+00A0>(대우빌딩)<U+00A0>전북 전주시 완산구 서노송동"
"1","익산시 모현동1","SK매직 익산지국SK매직 익산지국 MC(매직케어)모집","09:00~18:00","건별2,700,000","8분전","무관(신입+경력)","성별무관","25세(1995년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","위촉직(프리랜서)","0명 (10명 미만)","1년이상","월~토(토요일 격주휴무)","2019년 5월 7일(화) ~ 상시모집","전북 익산시 배산로 161<U+00A0>(이레빌딩)<U+00A0>전북 익산시 모현동1가"
"1","전주시 전체","KB의특별한혜택I육아걱정끝10시-3시여성추천]자동차재계약갱신/고객센터인바운드상담/평균3-500","09:30~15:00","월급3,000,000","8분전","무관(신입+경력)","여자","28세(1992년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 위촉직(프리랜서)","00명 (100명 미만)","1년이상","월~금","2019년 5월 8일(수) ~ 상시모집","전북 전주시 완산구 홍산로 158<U+00A0>한국토지주택공사 전북본부<U+00A0>전북 전주시 완산구 전체"
"1","전주시 송천동2","GK(구 가구코리아)[GK 배송·및 설치,A/S직원구함] 40세이하,1종보통면허소지자","08:30~19:00","월급2,150,000","8분전","무관(신입+경력)","남자","20세(2000년생) ~ 40세(1980년생) 미성년자 불가","학력무관","정규직","0명 (10명 미만)","1년이상 (수습기간있음, 기간협의가능)","월~토","2019년 4월 16일(화) ~ 2019년 5월 16일(목)","전북 전주시 덕진구 동부대로 989<U+00A0>GK(구 가구코리아)<U+00A0>전북 전주시 덕진구 송천동2가"
"1","남원시 도통동","웅진씽크빅 남원지국웅진씽크빅 남원지국에서 남원, 순창, 임실지역 방문교사를 ","14:00~21:00","월급2,000,000","9분전","무관(신입+경력)","성별무관","연령무관 ","대학(2,3년)졸업 이상","위촉직(프리랜서)","2명","1년이상","월~금 (요일협의가능)","2019년 5월 8일(수) ~ 2019년 5월 17일(금)","전북 남원시 용성로 232<U+00A0>중우빌딩 3층<U+00A0>전북 남원시 도통동"
"1","익산시 부송동","코웨이(주)【상담 및 채용업무 직원 공/개/채/용】","09:30~16:30","월급2,500,000","9분전","무관(신입+경력)","성별무관","22세 이상(1998년 이후 출생자) 고연령자 가능 미성년자 불가","학력무관","아르바이트, 계약직, 위촉직(프리랜서)","00명 (100명 미만)","1년이상 (기간협의가능)","월~금","2019년 4월 15일(월) ~ 상시모집","전북 익산시 무왕로 1182<U+00A0>(청담빌딩3층)<U+00A0>전북 익산시 부송동"
"1","전주시 효자동1","봄약국[봄약국]전산업무보조 알바 모집합니다.(토요일오전근무/일요","09:00~18:00","시급8,350","9분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","6개월~1년","월~토 (요일협의가능)","2019년 5월 8일(수) ~ 상시모집","전북 전주시 완산구 거마평로 150<U+00A0>봄약국<U+00A0>전북 전주시 완산구 효자동1가"
"1","전주시 팔복동2","하이트진로 전주물류센타【급구】물류출하사무 정규직 채용","07:30~17:00","월급2,000,000","9분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","정규직","0명 (10명 미만)","1년이상 (기간협의가능)","주5일 (요일협의가능)","2019년 4월 25일(목) ~ 상시모집","전북 전주시 덕진구 학산길 3<U+00A0>(하이트맥주 전주직매장)<U+00A0>전북 전주시 덕진구 팔복동2가"
"1","익산시 영등동","빽다방 익산영등제일점빽다방 익산영등제일점 알바 모집합니다.","18:00~22:30","시급8,350","10분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","6개월~1년","월~금","2019년 5월 5일(일) ~ 상시모집","전북 익산시 영등동 766-2<U+00A0>빽다방 익산영등제일점<U+00A0>전북 익산시 영등동"
