"1","전주시 중화산동","세븐일레븐 전주하늘채점세븐일레븐 하늘채점(본병원뒤)평일오후 알바구함","15:00~21:00","시급8,350","37분전","무관(신입+경력)","여자","20세(2000년생) ~ 40세(1980년생) 미성년자 불가","학력무관","아르바이트","1명","3개월~6개월","월~금","2019년 5월 10일(금) ~ 상시모집","전북 전주시 완산구 화산천변로 55<U+00A0>(코오롱하늘채아파트)상가 세븐일레븐<U+00A0>전북 전주시 완산구 중화산동2가"
"1","전주시 전체","도미노피자 전주서신점도미노피자 전주서신 배달스탭 및 주방보조 모집 합니다","11:00~22:20","시급8,350","38분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 34세(1986년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","6개월~1년 (수습기간있음, 기간협의가능)","월~일 (요일협의가능)","2019년 5월 12일(일) ~ 상시모집","전북 전주시 완산구 전룡로 32<U+00A0>(서신동)<U+00A0>전북 전주시 완산구 전체"
"1","전주시 전체","도미노피자 전주서신점도미노피자 전주서신 배달스탭 및 주방보조 모집 합니다","11:00~22:20","시급8,350","38분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 34세(1986년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","6개월~1년 (수습기간있음, 기간협의가능)","월~일 (요일협의가능)","2019년 5월 12일(일) ~ 상시모집","전북 전주시 완산구 전룡로 32<U+00A0>(서신동)<U+00A0>전북 전주시 완산구 전체"
"1","익산시 모현동1","GS25배산에코르점평일(12~6)시 근무자 구합니다","12:00~18:00","시급8,350","39분전","무관(신입+경력)","여자","25세(1995년생) ~ 30세(1990년생) 미성년자 불가","고등학교 졸업 이상","아르바이트","1명","6개월~1년 (수습기간있음)","월~금","2019년 5월 10일(금) ~ 상시모집","전북 익산시 배산로 95<U+00A0>(상가)상가동101호GS배산에코르점<U+00A0>전북 익산시 모현동1가"
"1","익산시 모현동1","GS25배산에코르점평일(12~6)시 근무자 구합니다","12:00~18:00","시급8,350","39분전","무관(신입+경력)","여자","25세(1995년생) ~ 30세(1990년생) 미성년자 불가","고등학교 졸업 이상","아르바이트","1명","6개월~1년 (수습기간있음)","월~금","2019년 5월 10일(금) ~ 상시모집","전북 익산시 배산로 95<U+00A0>(상가)상가동101호GS배산에코르점<U+00A0>전북 익산시 모현동1가"
"1","완주군 용진면","GS25완주용진점GS25완주용진점 평일주간/오후 근무자 구합니다.","08:00~16:00","시급8,350","39분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","1명","3개월~6개월","월~금","2019년 5월 9일(목) ~ 상시모집","전북 완주군 용진읍 완주로 176<U+00A0>용흥리 859-1<U+00A0>전북 완주군 용진면"
"1","전주시 경원동2","이랜드파크 외식 전주 NC웨이브점[평일/오픈조/09:30~] 수사 전주NC점 주방 모집","09:30~16:00","시급8,350","43분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","1명","3개월~6개월","월~금","2019년 5월 10일(금) ~ 상시모집","전북 전주시 완산구 전주객사5길 35<U+00A0>(고사동) 3층 수사<U+00A0>전북 전주시 완산구 경원동2가"
"1","전주시 경원동2","이랜드파크 외식 전주 NC웨이브점[주말/마감조/16:30~] 수사 전주NC점 주방 모집","16:30~22:00","시급8,350","44분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","2명","3개월~6개월","주말","2019년 5월 10일(금) ~ 상시모집","전북 전주시 완산구 전주객사5길 35<U+00A0>(고사동) 3층 수사<U+00A0>전북 전주시 완산구 경원동2가"
"1","전북 전체","steps전주 행사 진행스텝 모집합니다","08:00~22:00","일급120,000","48분전","무관(신입+경력)","남자","연령무관 ","고등학교 졸업 이상","아르바이트","45명","1일 (근무날짜: 5월 13일)","주1일","2019년 5월 11일(토) ~ 2019년 5월 12일(일)
D-DAY 오늘 ","전북 전주시 덕진구 기린대로 1055<U+00A0>(월드컵경기장)<U+00A0>전북 전체 "
"1","전주시 경원동2","이랜드파크 외식 전주 NC웨이브점[주말/마감조/16:30~] 수사 전주NC점 주방 모집","16:30~22:00","시급8,350","49분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","2명","3개월~6개월","주말","2019년 5월 10일(금) ~ 상시모집","전북 전주시 완산구 전주객사5길 35<U+00A0>(고사동) 3층 수사<U+00A0>전북 전주시 완산구 경원동2가"
"1","전주시 송천동2","하남F&B 전주송천점하남돼지집 전주송천점. (남)직원을 구합니다.","15:00~24:00","월급2,100,000","52분전","무관(신입+경력)","성별무관","25세(1995년생) ~ 45세(1975년생) 미성년자 불가","학력무관","정규직","0명 (10명 미만)","3개월~6개월 (수습기간있음)","주6일","2019년 5월 11일(토) ~ 상시모집","전북 전주시 덕진구 송천동2가<U+00A0>523-14<U+00A0>전북 전주시 덕진구 송천동2가"
"1","익산시 모현동2","세븐일레븐 익산배산지구점세븐일레븐 익산배산지구 주말야간 구인","00:00~23:00","건별50,000","1시간전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","1년이상 (기간협의가능)","월, 화, 수, 목, 금, 토, 일요일 (요일협의가능)","2019년 5월 10일(금) ~ 상시모집","전북 익산시 선화로1길 12<U+00A0>세븐일레븐 익산배산지구점<U+00A0>전북 익산시 모현동2가"
