"1","전주시 금암동","한국관홀써빙 하루반 남여직원 구해요","10:00~20:00","월급1,800,000","1시간전","무관(신입+경력)","성별무관","20세(2000년생) ~ 36세(1984년생) 미성년자 불가","학력무관","아르바이트, 정규직","0명 (10명 미만)","6개월~1년","월~일","2019년 5월 12일(일) ~ 2019년 5월 16일(목)
D-DAY 4 ","전북 전주시 덕진구 기린대로 425<U+00A0>(금암동)<U+00A0>전북 전주시 덕진구 금암동"
"1","군산시 구암동","군산식자재마트【급 구 /강력추천】카운  /공산품/ 야체코너 /주방 /경리  ","09:00~18:00","시급8,350","34분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트, 정규직, 계약직","0명 (10명 미만)","1년이상 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 9일(목) ~ 상시모집","전북 군산시 구암3.1로 204<U+00A0>구암동<U+00A0>전북 군산시 구암동"
"1","전주시 경원동2","이랜드파크 외식 전주 NC웨이브점[평일/오픈조/09:30~] 수사 전주NC점 주방 모집","09:30~16:00","시급8,350","35분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","1명","3개월~6개월","월~금","2019년 5월 10일(금) ~ 상시모집","전북 전주시 완산구 전주객사5길 35<U+00A0>(고사동) 3층 수사<U+00A0>전북 전주시 완산구 경원동2가"
"1","전주시 경원동2","이랜드파크 외식 전주 NC웨이브점[주말/마감조/16:30~] 수사 전주NC점 주방 모집","16:30~22:00","시급8,350","36분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","2명","3개월~6개월","주말","2019년 5월 10일(금) ~ 상시모집","전북 전주시 완산구 전주객사5길 35<U+00A0>(고사동) 3층 수사<U+00A0>전북 전주시 완산구 경원동2가"
"1","익산시 부송동","잼잼파티돌상플래너 구합니다","15:00~21:00","시급8,350","38분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 40세(1980년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","1년이상 (기간협의가능)","주말 (요일협의가능 : 토요일)","2019년 5월 12일(일) ~ 상시모집","전북 익산시 부송로8길 4<U+00A0>(부송동)<U+00A0>전북 익산시 부송동"
"1","전주시 덕진동1","OK로지스(주)초보도 가능한 야간물류 인원 모집합니다(당일지급)","19:00~07:20","일급130,000","39분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","아르바이트, 정규직, 계약직, 파견직, 인턴직","00명 (100명 미만)","1년이상 (기간협의가능)","주6일","2019년 5월 12일(일) ~ 상시모집","충북 옥천군 이원면 강청길 1<U+00A0>(창고)<U+00A0>전북 전주시 덕진구 덕진동1가"
"1","전주시 전체","GS리테일H&B 랄라블라 전주객사점랄라블라 전주객사점 주말 오픈/미들 부담당 구인","10:00~16:00","시급8,350","40분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","2명","3개월~6개월","주말","2019년 5월 11일(토) ~ 2019년 5월 16일(목)
D-DAY 4 ","전주시 완산구 전주객사 5길 36-4<U+00A0>1층 랄라블라<U+00A0>전북 전주시 완산구 전체"
"1","전주시 전체","(주)현대렌탈케어 전주지국정수기 필터교체 매니저 모집 (초보환영)","09:00~18:00","월급2,500,000","41분전","무관(신입+경력)","성별무관","30세(1990년생) ~ 49세(1971년생) 미성년자 불가","학력무관","위촉직(프리랜서)","2명","1년이상 (기간협의가능)","주5일","2019년 5월 9일(목) ~ 2019년 5월 13일(월)
D-DAY 내일 ","전북 전주시 덕진구 동부대로 375<U+00A0>1층 현대렌탈케어<U+00A0>전북 전주시 완산구 전체"
"1","전주시 경원동2","이랜드파크 외식 전주 NC웨이브점[주말/마감조/16:30~] 수사 전주NC점 주방 모집","16:30~22:00","시급8,350","41분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","2명","3개월~6개월","주말","2019년 5월 10일(금) ~ 상시모집","전북 전주시 완산구 전주객사5길 35<U+00A0>(고사동) 3층 수사<U+00A0>전북 전주시 완산구 경원동2가"
"1","전주시 송천동2","하남F&B 전주송천점하남돼지집 전주송천점. (남)직원을 구합니다.","15:00~24:00","월급2,100,000","44분전","무관(신입+경력)","성별무관","25세(1995년생) ~ 45세(1975년생) 미성년자 불가","학력무관","정규직","0명 (10명 미만)","3개월~6개월 (수습기간있음)","주6일","2019년 5월 11일(토) ~ 상시모집","전북 전주시 덕진구 송천동2가<U+00A0>523-14<U+00A0>전북 전주시 덕진구 송천동2가"
"1","전주시 전체","전주시청옆U+정규직/주말접수및상담환영5/14_5/17면접선택-면접비지급/101번접수응대/정시퇴근/통근","09:00~18:00","월급3,000,000","51분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 41세(1979년생) 미성년자 불가","고등학교 졸업 이상","아르바이트, 정규직","30명","6개월~1년 (기간협의가능)","주5일","2019년 5월 12일(일) ~ 2019년 5월 13일(월)
D-DAY 내일 ","전북 전주시 완산구 기린대로 213<U+00A0>(대우빌딩)16층<U+00A0>전북 전주시 덕진구 전체"
"1","전주시 효자동1","(주)더비제이컴퍼니인터넷 개인방송 / BJ / 크리에이터 / 스트리머 / 알바 모집","19:00~23:00","월급3,000,000","52분전","무관(신입+경력)","여자","20세(2000년생) ~ 30세(1990년생) 미성년자 불가","학력무관","아르바이트, 정규직, 계약직, 인턴직, 위촉직(프리랜서)","00명 (100명 미만)","3개월~6개월 (기간협의가능)","주5일","2019년 4월 30일(화) ~ 상시모집","서울 강남구 테헤란로82길 15<U+00A0>디아이타워 801호<U+00A0>전북 전주시 완산구 효자동1가"
"1","익산시 모현동2","세븐일레븐 익산배산지구점세븐일레븐 익산배산지구 주말야간 구인","00:00~23:00","건별50,000","54분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","1년이상 (기간협의가능)","월, 화, 수, 목, 금, 토, 일요일 (요일협의가능)","2019년 5월 10일(금) ~ 상시모집","전북 익산시 선화로1길 12<U+00A0>세븐일레븐 익산배산지구점<U+00A0>전북 익산시 모현동2가"
"1","전주시 전체","도미노피자 효자점도미노피자 전주효자 배달스탭 모집 합니다","11:00~22:20","시급8,350","55분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 30세(1990년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","1년이상 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 12일(일) ~ 상시모집","전북 전주시 완산구 백제대로 133<U+00A0>(효자동1가)<U+00A0>전북 전주시 완산구 전체"
"1","전주시 전체","도미노피자 효자점도미노피자 전주효자 배달스탭 모집 합니다","11:00~22:20","시급8,350","55분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 30세(1990년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","1년이상 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 12일(일) ~ 상시모집","전북 전주시 완산구 백제대로 133<U+00A0>(효자동1가)<U+00A0>전북 전주시 완산구 전체"
"1","전주시 전체","도미노피자 효자점도미노피자 전주효자 배달스탭 모집 합니다","11:00~22:20","시급8,350","56분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 30세(1990년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","1년이상 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 12일(일) ~ 상시모집","전북 전주시 완산구 백제대로 133<U+00A0>(효자동1가)<U+00A0>전북 전주시 완산구 전체"
"1","전주시 전체","도미노피자 효자점도미노피자 전주효자 배달스탭 모집 합니다","11:00~22:20","시급8,350","57분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 30세(1990년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","1년이상 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 12일(일) ~ 상시모집","전북 전주시 완산구 백제대로 133<U+00A0>(효자동1가)<U+00A0>전북 전주시 완산구 전체"
"1","전주시 전체","도미노피자 효자점도미노피자 전주효자 배달스탭 모집 합니다","11:00~22:20","시급8,350","1시간전","무관(신입+경력)","성별무관","21세(1999년생) ~ 30세(1990년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","1년이상 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 12일(일) ~ 상시모집","전북 전주시 완산구 백제대로 133<U+00A0>(효자동1가)<U+00A0>전북 전주시 완산구 전체"
