"1","익산시 전체","CJ택배/회사차량지원/지입X/선수금X[월500]지나면 다시 오지 않을 오늘, 도전하세요","08:00~18:00","월급4,500,000","33분전","무관(신입+경력)","성별무관","22세(1998년생) ~ 58세(1962년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 파견직","3명","1년이상","월~토","2019년 5월 6일(월) ~ 2019년 5월 8일(수)
D-DAY 내일 ","전북 익산시 인북로 226-7<U+00A0>(익산시청)<U+00A0>전북 익산시 전체"
"1","남원시 도통동","교원웰스 M전주(남원) 주부에게 딱 알맞은 일자리 교원웰스매니저/플래너 모","09:00~18:00","건별220,000","36분전","무관(신입+경력)","여자","연령무관  고연령자 가능","학력무관","위촉직(프리랜서)","00명 (100명 미만)","1년이상","주3일","2019년 5월 7일(화) ~ 상시모집","전북 남원시 용성로 232<U+00A0>중우빌딩 2층 교원웰스정수기<U+00A0>전북 남원시 도통동"
"1","군산시 수송동","쿠우쿠우군산점쿠우쿠우군산점 주방  직원.주방 보조를 모집합니다.","09:00~21:00","월급2,000,000","39분전","무관(신입+경력)","성별무관","19세(2001년생) ~ 48세(1972년생)","학력무관","정규직","0명 (10명 미만)","1년이상 (수습기간있음)","주6일","2019년 5월 5일(일) ~ 상시모집","전북 군산시 월명로 201<U+00A0>(수송동)822-5<U+00A0>전북 군산시 수송동"
"1","전주시 효자동3","웅진씽크빅 전주만성지국3~4일 효자동(서곡.효자동 일대) 방문교사 경력교사우대 모집","13:00~21:00","월급1,800,000","39분전","무관(신입+경력)","성별무관","연령무관 ","대학(2,3년)졸업 이상","위촉직(프리랜서)","2명","1년이상","월~금","2019년 5월 4일(토) ~ 상시모집","전북 전주시 완산구 세내로 546<U+00A0>신한빌딩 3층<U+00A0>전북 전주시 완산구 효자동3가"
"1","김제시 요촌동","교원웰스 M전주(김제) 주부에게 딱 알맞은 일자리 교원월스매니저, 플래너 ","09:00~18:00","건별220,000","42분전","무관(신입+경력)","여자","연령무관  고연령자 가능","학력무관","위촉직(프리랜서)","00명 (100명 미만)","1주일~1개월 (근무날짜: 5월 7일 ~ 5월 31일)","주3일 (요일협의가능)","2019년 5월 7일(화) ~ 상시모집","전북 김제시 남북로 225<U+00A0>동광빌딩 4층<U+00A0>전북 김제시 요촌동"
"1","전주시 효자동3","GS25전북도청점GS25 전북도청점 스토어매니저 모집","00:00~08:00","시급8,350","42분전","무관(신입+경력)","성별무관","연령무관  청소년 가능","학력무관","아르바이트","1명","1년이상 (기간협의가능)","주말","2019년 5월 5일(일) ~ 상시모집","전북 전주시 완산구 홍산남로 51, 104호<U+00A0><U+00A0>전북 전주시 완산구 효자동3가"
"1","익산시 전체","웅진씽크빅 익산서부지국나를위한 최고의 선택(웅진씽크빅 학습센터  선생님 모집)","14:00~21:00","월급1,600,000","46분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","1명","1년이상","월~금 (요일협의가능 : 주3일)","2019년 5월 7일(화) ~ 2019년 5월 10일(금)
D-DAY 3 ","전북 익산시 선화로1길 12<U+00A0>웅진북클럽 모현 학습센터<U+00A0>전북 익산시 전체"
"1","익산시 모현동2","(주)오케이정보KT공식대리점 (주)오케이정보 정직원 모집","10:00~08:00","월급2,500,000","53분전","무관(신입+경력)","성별무관","25세(1995년생) ~ 40세(1980년생) 미성년자 불가","학력무관","정규직","2명","1년이상 (수습기간있음)","주6일","2019년 5월 6일(월) ~ 상시모집","전북 익산시 선화로1길 4<U+00A0>배산시티프라자 103호 KT공식대리점<U+00A0>전북 익산시 모현동2가"
"1","전주시 덕진동2","메카PC하가점메카 PC에서 평일 야간[00시-08시] 아르바이트 모집합니다.","00:00~08:00","시급8,350","53분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","1명","3개월~6개월 (기간협의가능)","월~금","2019년 5월 7일(화) ~ 상시모집","전북 전주시 덕진구 가련산로 27<U+00A0>(덕진동2가)<U+00A0>전북 전주시 덕진구 덕진동2가"
"1","전주시 효자동3","GS25전북도청점GS25 전북도청점 스토어매니저 모집","00:00~08:00","시급8,350","53분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","1명","1년이상 (기간협의가능)","주말","2019년 5월 4일(토) ~ 상시모집","전북 전주시 완산구 홍산남로 51, 104호<U+00A0><U+00A0>전북 전주시 완산구 효자동3가"
"1","전주시 효자동1","링크타임[단기,투잡] 지역별, 동네별 단기 투잡으로 일 하실 분을 모","11:00~17:00","시급12,000","56분전","무관(신입+경력)","성별무관","19세 이상(2001년 이후 출생자) 고연령자 가능","학력무관","아르바이트, 파견직","0명 (10명 미만)","1주일이하 (근무날짜: 5월 8일 ~ 5월 14일)","주3일 (요일협의가능)","2019년 5월 7일(화) ~ 상시모집","전북 전주시 완산구 거마평로 124<U+00A0>579<U+00A0>전북 전주시 완산구 효자동1가"
"1","전주시 전체","도미노피자 효자점도미노피자 전주효자 배달스탭 및 주방보조 모집 합니다","11:00~22:20","시급8,350","58분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 30세(1990년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","1년이상 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 5일(일) ~ 상시모집","전북 전주시 완산구 백제대로 133<U+00A0>(효자동1가)<U+00A0>전북 전주시 완산구 전체"
"1","전주시 전체","도미노피자 효자점도미노피자 전주효자 배달스탭 및 주방보조 모집 합니다","11:00~22:20","시급8,350","59분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 30세(1990년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","1년이상 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 5일(일) ~ 상시모집","전북 전주시 완산구 백제대로 133<U+00A0>(효자동1가)<U+00A0>전북 전주시 완산구 전체"
"1","전주시 전체","도미노피자 효자점도미노피자 전주효자 배달스탭 및 주방보조 모집 합니다","11:00~22:20","시급8,350","59분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 30세(1990년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","1년이상 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 5일(일) ~ 상시모집","전북 전주시 완산구 백제대로 133<U+00A0>(효자동1가)<U+00A0>전북 전주시 완산구 전체"
"1","군산시 소룡동","GS25군산경암점소룡동 성원상데빌 주말 야간.오전.오후 근무자 구합니다","22:00~08:00","시급8,350","1시간전","무관(신입+경력)","성별무관","25세(1995년생) ~ 60세(1960년생) 고연령자 가능 미성년자 불가","고등학교 졸업 이상","아르바이트","1명","6개월~1년","주말","2019년 5월 5일(일) ~ 상시모집","전북 군산시 해망로 447<U+00A0>(군산성원아파트)<U+00A0>전북 군산시 소룡동"
