"1","익산시 모현동1","SK매직 익산지국SK매직 익산지국 MC(매직케어)모집","09:00~18:00","건별2,700,000","34분전","무관(신입+경력)","성별무관","25세(1995년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","위촉직(프리랜서)","0명 (10명 미만)","1년이상","월~토(토요일 격주휴무)","2019년 5월 10일(금) ~ 상시모집","전북 익산시 배산로 161<U+00A0>(이레빌딩)<U+00A0>전북 익산시 모현동1가"
"1","군산시 조촌동","멕시카나 조촌(전북)배달구합니다","15:00~24:00","시급8,500","35분전","무관(신입+경력)","남자","21세(1999년생) ~ 50세(1970년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","6개월~1년 (기간협의가능)","월~일 (요일협의가능 : 주1일 휴무)","2019년 5월 8일(수) ~ 상시모집","전북 군산시 조촌4길 13<U+00A0>멕시카나 조촌점<U+00A0>전북 군산시 조촌동"
"1","김제시 검산동","웅진씽크빅 김제지국일5시간 방문.공부방.센터교사 모십니다~","15:00~20:00","월급1,400,000","40분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","1명","1년이상","월~금","2019년 5월 8일(수) ~ 2019년 5월 16일(목)
D-DAY 5 ","전북 김제시 도작로 104<U+00A0>전원빌딩3층 웅진씽크빅<U+00A0>전북 김제시 검산동"
"1","익산시 어양동","웅진씽크빅 익산동부지국창업지원100(150)공부방개설교사모집/어양.영등.부송.팔봉방","14:00~20:00","월급1,800,000","44분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","3명","1년이상 (기간협의가능)","월~금 (요일협의가능)","2019년 5월 7일(화) ~ 2019년 5월 17일(금)
D-DAY 6 ","전북 익산시 무왕로 1104<U+00A0>칠성빌딩4층 웅진씽크빅<U+00A0>전북 익산시 어양동"
"1","군산시 전체","GS25군산옥구점GS25 군산옥구점 주말 오픈 스토어매니저 대모집","05:30~12:00","시급8,350","46분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","1명","6개월~1년 (기간협의가능)","주말 (요일협의가능)","2019년 5월 7일(화) ~ 2019년 5월 27일(월)","전북 군산시 옥구읍 옥구로 2<U+00A0>GS25<U+00A0>전북 군산시 전체"
"1","정읍시 수성동","SK매직 정읍지국SK매직 MC케어 모집합니다","09:00~06:00","월급2,700,000","47분전","무관(신입+경력)","성별무관","25세(1995년생) ~ 51세(1969년생) 미성년자 불가","학력무관","정규직, 계약직","00명 (100명 미만)","1년이상","월~금 (요일협의가능)","2019년 5월 8일(수) ~ 상시모집","전북 정읍시 수성5로 31-9<U+00A0>SK매직<U+00A0>전북 정읍시 수성동"
"1","군산시 대명동","세븐일레븐 군산터미널점주말근무자구함","11:00~22:00","시급8,350","49분전","무관(신입+경력)","남자","연령무관 ","고등학교 졸업 이상","아르바이트","1명","1개월~3개월 (기간협의가능)","주2일","2019년 5월 10일(금) ~ 상시모집","전북 군산시 대명동<U+00A0>해망로<U+00A0>전북 군산시 대명동"
"1","전주시 전체","웅진씽크빅 아중지국웅진씽크빅 교사모집/주3일가능/유아동종업계우대 정착지원금","13:00~21:00","월급1,800,000","50분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","0명 (10명 미만)","1년이상 (기간협의가능)","월~금 (요일협의가능)","2019년 5월 9일(목) ~ 2019년 5월 22일(수)","전북 전주시 덕진구 호성3길 22-3<U+00A0>삼육빌딩3층<U+00A0>전북 전주시 덕진구 전체"
"1","전주시 전체","웅진씽크빅 아중지국웅진씽크빅 교사모집/주3일가능/유아동종업계우대 정착지원금","13:00~21:00","월급1,800,000","50분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","0명 (10명 미만)","1년이상 (기간협의가능)","월~금 (요일협의가능)","2019년 5월 9일(목) ~ 2019년 5월 22일(수)","전북 전주시 덕진구 호성3길 22-3<U+00A0>삼육빌딩3층<U+00A0>전북 전주시 덕진구 전체"
"1","전주시 전체","웅진씽크빅 아중지국웅진씽크빅 교사모집/주3일가능/유아동종업계우대 정착지원금","13:00~21:00","월급1,800,000","50분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","0명 (10명 미만)","1년이상 (기간협의가능)","월~금 (요일협의가능)","2019년 5월 9일(목) ~ 2019년 5월 22일(수)","전북 전주시 덕진구 호성3길 22-3<U+00A0>삼육빌딩3층<U+00A0>전북 전주시 덕진구 전체"
"1","전주시 전체","웅진씽크빅 아중지국웅진씽크빅 교사모집/주3일가능/유아동종업계우대 정착지원금","13:00~21:00","월급1,800,000","51분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","0명 (10명 미만)","1년이상 (기간협의가능)","월~금 (요일협의가능)","2019년 5월 9일(목) ~ 2019년 5월 22일(수)","전북 전주시 덕진구 호성3길 22-3<U+00A0>삼육빌딩3층<U+00A0>전북 전주시 덕진구 전체"
"1","전북 전체","웅진씽크빅 아중지국웅진씽크빅 교사모집/공부방/부영2차 회원지원/정착지원금10","13:00~21:00","월급1,800,000","51분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","0명 (10명 미만)","1년이상 (기간협의가능)","월~금 (요일협의가능)","2019년 5월 9일(목) ~ 2019년 5월 22일(수)","전북 전주시 덕진구 호성3길 22-3<U+00A0>삼육빌딩3층<U+00A0>전북 전체 "
"1","전주시 전체","연탄위에노는흑돼지송천점급)주방보조 구함","21:00~24:00","시급9,500","55분전","무관(신입+경력)","남자","연령무관  고연령자 가능","학력무관","아르바이트","1명","1년이상 (기간협의가능)","주5일 (요일협의가능 : 월~ 금)","2019년 5월 10일(금) ~ 2019년 5월 11일(토)
D-DAY 오늘 ","전북 전주시 덕진구 붓내3길 17-11<U+00A0>(송천동2가)<U+00A0>전북 전주시 덕진구 전체"
"1","익산시 오산면","역전엘베강오랜기간같이근무할수있는성실하고활발한홀써빙알바구합니다","19:00~01:00","시급8,350","58분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 25세(1995년생) 미성년자 불가","학력무관","아르바이트","1명","1년이상 (기간협의가능)","월, 화, 수, 목요일 (요일협의가능)","2019년 5월 11일(토) ~ 상시모집","전북 익산시 오산면 선화로4길 42-3<U+00A0>(장신리)<U+00A0>전북 익산시 오산면"
"1","군산시 전체","(주)에이치알가온누리군산/주간고정/연3000이상/한국유리(한국글레이징)인원채용.","08:30~17:30","연봉32,000,000","1시간전","무관(신입+경력)","성별무관","연령무관 ","학력무관","정규직","1명","1년이상","월~금","2019년 5월 10일(금) ~ 상시모집","전북 군산시 산단동서로 138<U+00A0>(HR가온누리)<U+00A0>전북 군산시 전체"
