"1","전주시 덕진동2","GS25하가실크로드점GS25하가실크로드점에서 주말 오후 구합니다","15:00~22:00","시급8,530","27분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 50세(1970년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","1개월~3개월 (기간협의가능)","토, 일요일","2019년 5월 10일(금) ~ 상시모집","전북 전주시 덕진구 가리내7길 9<U+00A0>GS25하가실크로드<U+00A0>전북 전주시 덕진구 덕진동2가"
"1","남원시 도통동","교원웰스 M전주(남원) 주부에게 딱 알맞은 일자리 교원웰스매니저/플래너 모","09:00~18:00","건별210,000","29분전","무관(신입+경력)","여자","연령무관  고연령자 가능","학력무관","위촉직(프리랜서)","00명 (100명 미만)","1년이상","주3일","2019년 5월 13일(월) ~ 상시모집","전북 남원시 용성로 232<U+00A0>중우빌딩 2층 교원웰스정수기<U+00A0>전북 남원시 도통동"
"1","익산시 모현동1","교원웰스 S익산(익산시)플래너 모집(정착수당 지급 및 합리적인 승진 기회 ","09:00~18:00","건별210,000","38분전","무관(신입+경력)","성별무관","연령무관  고연령자 가능","학력무관","위촉직(프리랜서)","1명","6개월~1년 (기간협의가능)","주3일 (요일협의가능)","2019년 5월 13일(월) ~ 상시모집","전북 익산시 배산로 139<U+00A0>2층 교원웰스<U+00A0>전북 익산시 모현동1가"
"1","군산시 수송동","교원웰스 S익산(군산시)플래너 모집(정착수당 지급 및 합리적인 승진 기회 ","09:00~18:00","건별210,000","39분전","무관(신입+경력)","성별무관","연령무관  고연령자 가능","학력무관","위촉직(프리랜서)","1명","6개월~1년 (기간협의가능)","주3일 (요일협의가능)","2019년 5월 13일(월) ~ 상시모집","전북 군산시 월명로 219<U+00A0>((주)BYC)<U+00A0>전북 군산시 수송동"
"1","정읍시 장명동","교원웰스 S익산(정읍)플래너 모집(정착수당 지급 및 승진 기회 부여)","09:00~18:00","건별210,000","39분전","무관(신입+경력)","성별무관","연령무관  고연령자 가능","학력무관","위촉직(프리랜서)","1명","6개월~1년 (기간협의가능)","주3일 (요일협의가능)","2019년 5월 13일(월) ~ 상시모집","전북 정읍시 충정로 220<U+00A0>(개미부동산)<U+00A0>전북 정읍시 장명동"
"1","부안군 부안읍","교원웰스 S익산(부안)플래너 모집(정착수당 지급 및 승진 기회 부여)","09:00~18:00","건별210,000","41분전","무관(신입+경력)","성별무관","연령무관  고연령자 가능","학력무관","위촉직(프리랜서)","1명","6개월~1년 (기간협의가능)","주3일 (요일협의가능)","2019년 5월 13일(월) ~ 상시모집","전북 정읍시 충정로 220<U+00A0>(개미부동산)<U+00A0>전북 부안군 부안읍"
"1","군산시 수송동","교원웰스 M익산[군산]주부에게 딱 알맞은 일자리 교원웰스매니저 모집","09:00~18:00","건별170,000","42분전","무관(신입+경력)","여자","연령무관  고연령자 가능","학력무관","위촉직(프리랜서)","00명 (100명 미만)","1주일~1개월 (근무날짜: 5월 13일 ~ 6월 12일) (기간협의가능)","주3일 (요일협의가능)","2019년 5월 13일(월) ~ 상시모집","전북 군산시 월명로 219<U+00A0>((주)BYC)7층<U+00A0>전북 군산시 수송동"
"1","부안군 부안읍","교원웰스 M익산[부안]주부에게 딱 알맞은 일자리 교원웰스매니저 모집","09:00~18:00","건별170,000","43분전","무관(신입+경력)","여자","연령무관  고연령자 가능","학력무관","위촉직(프리랜서)","00명 (100명 미만)","1주일~1개월 (근무날짜: 5월 13일 ~ 6월 12일)","주3일","2019년 5월 13일(월) ~ 상시모집","전북 부안군 부안읍 번영로 145<U+00A0>(새만금빌딩)7층<U+00A0>전북 부안군 부안읍"
"1","익산시 모현동1","교원웰스 M익산[익산]주부에게 딱 알맞은 일자리 교원웰스매니저모집","09:00~18:00","건별170,000","44분전","무관(신입+경력)","여자","연령무관  고연령자 가능","학력무관","위촉직(프리랜서)","0명 (10명 미만)","1주일~1개월 (근무날짜: 5월 13일 ~ 6월 12일) (기간협의가능)","주3일 (요일협의가능)","2019년 5월 13일(월) ~ 상시모집","전북 익산시 배산로 139<U+00A0>송하빌딩202호<U+00A0>전북 익산시 모현동1가"
"1","군산시 조촌동","멕시카나 조촌(전북)배달구합니다","15:00~24:00","시급8,500","44분전","무관(신입+경력)","남자","21세(1999년생) ~ 50세(1970년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","6개월~1년 (기간협의가능)","월~일 (요일협의가능 : 주1일 휴무)","2019년 5월 10일(금) ~ 상시모집","전북 군산시 조촌4길 13<U+00A0>멕시카나 조촌점<U+00A0>전북 군산시 조촌동"
"1","정읍시 장명동","교원웰스 M익산[정읍]주부에게 딱 알맞은 일자리 교원웰스 매니저 모집","09:00~18:00","건별170,000","44분전","무관(신입+경력)","여자","연령무관  고연령자 가능","학력무관","위촉직(프리랜서)","00명 (100명 미만)","1주일~1개월 (근무날짜: 5월 13일 ~ 6월 12일)","주3일","2019년 5월 13일(월) ~ 상시모집","전북 정읍시 충정로 212<U+00A0>(사단법인 둘레)2층<U+00A0>전북 정읍시 장명동"
"1","정읍시 시기동","더리터정읍더리터 (주5일알바 주말알바구함)","18:00~22:00 (로테이션)","시급8,350","45분전","무관(신입+경력)","성별무관","19세(2001년생) ~ 30세(1990년생)","학력무관","아르바이트","0명 (10명 미만)","3개월~6개월 (기간협의가능)","월~일 (요일협의가능 : 월~금 ,주말토일)","2019년 5월 12일(일) ~ 상시모집","전북 정읍시 조곡천1길 82<U+00A0>(시기동)185번지<U+00A0>전북 정읍시 시기동"
"1","전주시 송천동1","가나로지스(주)&최고의꿀알바&일당 13만원 야간 물류알바 大모집&","20:00~07:20","일급130,000","47분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","아르바이트, 정규직, 계약직, 파견직, 인턴직","00명 (100명 미만)","1년이상 (기간협의가능)","주6일","2019년 5월 13일(월) ~ 상시모집","전북 전주시 덕진구 가리내로 500<U+00A0>4<U+00A0>전북 전주시 덕진구 송천동1가"
"1","전주시 덕진동2","후 숯불돼지갈비(덕진동2가/하가지구)홀서빙구함","11:00~22:00","시급8,500","55분전","무관(신입+경력)","여자","20세(2000년생) ~ 38세(1982년생) 미성년자 불가","고등학교 졸업 이상","아르바이트, 정규직","1명","1년이상 (수습기간있음, 기간협의가능)","월~토 (요일협의가능)","2019년 5월 12일(일) ~ 2019년 6월 1일(토)","전북 전주시 덕진구 가리내9길 17<U+00A0>덕진동2가 하가지구 후 숯불돼지갈비<U+00A0>전북 전주시 덕진구 덕진동2가"
"1","전주시 전체","전주시청U+정규직/통신비/식대/교통비5/17_5/21면접선택-면접비지급/101번접수응대/정시퇴근/통근","09:00~18:00","월급3,000,000","56분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 41세(1979년생) 미성년자 불가","고등학교 졸업 이상","아르바이트, 정규직","30명","6개월~1년 (기간협의가능)","주5일","2019년 5월 12일(일) ~ 2019년 5월 16일(목)
D-DAY 3 ","전북 전주시 완산구 기린대로 213<U+00A0>(대우빌딩)16층<U+00A0>전북 전주시 덕진구 전체"
"1","전주시 우아동2","(주)에이치알가온누리우아동/호텔 객실청소원 모집/주4일근무/월140만원/깔끔하신","09:00~18:00","월급1,400,000","59분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","계약직","1명","3개월~6개월","주4일","2019년 5월 13일(월) ~ 상시모집","전북 전주시 덕진구 아중4길 14-4<U+00A0>(리치칼튼)<U+00A0>전북 전주시 덕진구 우아동2가"
"1","군산시 전체","황금코다리군산직영점황금코다리군산직영점 주방설거지 및 보조 구함","10:00~03:00","시급8,350","1시간전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","1명","6개월~1년","월~일 (요일협의가능)","2019년 5월 10일(금) ~ 상시모집","전북 군산시 번영로 372<U+00A0>(사정동) 1-4<U+00A0>전북 군산시 전체"
