"1","전주시 전체","롯데리아 전주고사점##배달사원 및 매장사원 모집[투잡가능]##","00:00~24:00","시급8,350","24분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","6개월~1년 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 10일(금) ~ 상시모집","전북 전주시 완산구 전주객사5길 22-3<U+00A0>롯데리아 전주고사점<U+00A0>전북 전주시 완산구 전체"
"1","정읍시 수성동","SK매직 정읍지국SK매직 MC케어 모집합니다","09:00~06:00","월급2,700,000","30분전","무관(신입+경력)","성별무관","25세(1995년생) ~ 51세(1969년생) 미성년자 불가","학력무관","정규직, 계약직","00명 (100명 미만)","1년이상","월~금 (요일협의가능)","2019년 5월 8일(수) ~ 상시모집","전북 정읍시 수성5로 31-9<U+00A0>SK매직<U+00A0>전북 정읍시 수성동"
"1","익산시 모현동1","돈걱정 그만 / 행복은 돈으로 부터[月평균급여 500만] 아직도 돈걱정만 하고 계신가요 / 이젠 ","08:00~18:00","월급4,500,000","32분전","무관(신입+경력)","성별무관","24세(1996년생) ~ 59세(1961년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 파견직","2명","1년이상 (수습기간있음)","월~토","2019년 5월 9일(목) ~ 2019년 5월 16일(목)
D-DAY 6 ","전북 익산시 인북로 226-7<U+00A0>초보/여성/외국인/동반지원가능<U+00A0>전북 익산시 모현동1가"
"1","군산시 수송동","돈걱정 그만 / 행복은 돈으로 부터[月평균급여 500만] 아직도 돈걱정만 하고 계신가요 / 이젠 ","08:00~18:00","월급4,500,000","33분전","무관(신입+경력)","성별무관","24세(1996년생) ~ 59세(1961년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 파견직","2명","1년이상 (수습기간있음)","월~토","2019년 5월 9일(목) ~ 2019년 5월 16일(목)
D-DAY 6 ","전북 군산시 시청로 17<U+00A0>초보/여성/외국인/동반지원가능<U+00A0>전북 군산시 수송동"
"1","전주시 중화산동","(주)씨아이로지스[일당현찰최고13만원] 야간 홈쇼핑택배 일당알바 대모집","20:00~06:00","일급130,000","34분전","무관(신입+경력)","성별무관","19세(2001년생) ~ 55세(1965년생) 고연령자 가능","학력무관","아르바이트, 정규직, 계약직, 파견직, 인턴직","00명 (100명 미만)","3개월~6개월 (기간협의가능)","월~일","2019년 5월 9일(목) ~ 상시모집","전라북도 전주시 완산구 강당2길 35-35<U+00A0>(중화산동1가)<U+00A0>전북 전주시 완산구 중화산동1가"
"1","전주시 전체","연탄위에노는흑돼지송천점급)주방보조 구함","21:00~24:00","시급9,500","38분전","무관(신입+경력)","남자","연령무관  고연령자 가능","학력무관","아르바이트","1명","1년이상 (기간협의가능)","주5일 (요일협의가능 : 월~ 금)","2019년 5월 10일(금) ~ 2019년 5월 11일(토)
D-DAY 내일 ","전북 전주시 덕진구 붓내3길 17-11<U+00A0>(송천동2가)<U+00A0>전북 전주시 덕진구 전체"
"1","전주시 서신동","(주)기쁨사랑물류남,녀 (야간택배) 최대14만원 정말쉬운 홈쇼핑택배 아르바이","20:00~06:00","일급140,000","43분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","00명 (100명 미만)","1주일~1개월 (근무날짜: 9월 3일 ~ 10월 3일)","월~일 (요일협의가능 : 1일근무가능(근무기간 선택))","2019년 5월 9일(목) ~ 상시모집","충북 옥천군 이원면 건진2길 65<U+00A0>(건진리)<U+00A0>전북 전주시 완산구 서신동"
"1","전주시 전체","(주)에이치알사람인꿀.꿀알바/봉동/물품피킹업무/일급78,000원/통근버스운행(전","10:00~19:00","일급78,000","44분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트, 계약직","2명","3개월~6개월","주5일","2019년 5월 7일(화) ~ 상시모집","전북 완주군 봉동읍 완주산단2로 282-21<U+00A0>에이치알사람인<U+00A0>전북 전주시 덕진구 전체"
"1","전주시 중앙동1","링크타임[단기,투잡] 지역별, 동네별 단기 투잡으로 일 하실 분을 모","11:00~17:00","시급12,000","48분전","무관(신입+경력)","성별무관","19세 이상(2001년 이후 출생자) 고연령자 가능","학력무관","아르바이트, 파견직","0명 (10명 미만)","1주일이하 (근무날짜: 5월 10일 ~ 5월 16일)","주3일 (요일협의가능)","2019년 5월 9일(목) ~ 상시모집","전북 전주시 완산구 전라감영2길 12-17<U+00A0>65-5<U+00A0>전북 전주시 완산구 중앙동1가"
"1","부안군 부안읍","할리스커피 부안격포채석강점토일위주 근무직원구함","11:00~20:00","시급8,350","49분전","무관(신입+경력)","여자","연령무관 ","학력무관","아르바이트, 계약직","1명","1개월~3개월","주말","2019년 5월 8일(수) ~ 상시모집","전북 부안군 변산면 채석강길 22-8<U+00A0>할리스커피<U+00A0>전북 부안군 부안읍"
"1","익산시 전체","네오피자네오피자 익산점에서 배달사원 모집합니다.","12:00~01:40","시급10,000","50분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","1년이상 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 10일(금) ~ 상시모집","전북 익산시 인북로 363<U+00A0>1층 네오피자<U+00A0>전북 익산시 전체"
"1","전주시 전체","신신통운전주/오뚜기 식품배송 (1톤전주특급 340완제)/지입매매","04:00~13:00","월급3,400,000","51분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","계약직","1명","1년이상","주6일","2019년 5월 9일(목) ~ 상시모집","전북 전주시 덕진구 가련산로 5<U+00A0><U+00A0>전북 전주시 완산구 전체"
"1","전주시 중화산동","세븐일레븐 전주하늘채점세븐일레븐 하늘채점(본병원뒤)평일오후 알바구함","15:00~21:00","시급8,350","51분전","무관(신입+경력)","여자","20세(2000년생) ~ 40세(1980년생) 미성년자 불가","학력무관","아르바이트","1명","3개월~6개월","월~금","2019년 5월 10일(금) ~ 상시모집","전북 전주시 완산구 화산천변로 55<U+00A0>(코오롱하늘채아파트)상가 세븐일레븐<U+00A0>전북 전주시 완산구 중화산동2가"
"1","익산시 모현동1","GS25배산에코르점평일(12~6)시 근무자 구합니다","12:00~18:00","시급8,350","53분전","무관(신입+경력)","여자","25세(1995년생) ~ 30세(1990년생) 미성년자 불가","고등학교 졸업 이상","아르바이트","1명","6개월~1년 (수습기간있음)","월~금","2019년 5월 10일(금) ~ 상시모집","전북 익산시 배산로 95<U+00A0>(상가)상가동101호GS배산에코르점<U+00A0>전북 익산시 모현동1가"
"1","익산시 모현동1","GS25배산에코르점평일(12~6)시 근무자 구합니다","12:00~18:00","시급8,350","53분전","무관(신입+경력)","여자","25세(1995년생) ~ 30세(1990년생) 미성년자 불가","고등학교 졸업 이상","아르바이트","1명","6개월~1년 (수습기간있음)","월~금","2019년 5월 10일(금) ~ 상시모집","전북 익산시 배산로 95<U+00A0>(상가)상가동101호GS배산에코르점<U+00A0>전북 익산시 모현동1가"
"1","완주군 용진면","GS25완주용진점GS25완주용진점 평일주간/오후 근무자 구합니다.","08:00~16:00","시급8,350","53분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","1명","3개월~6개월","월~금","2019년 5월 9일(목) ~ 상시모집","전북 완주군 용진읍 완주로 176<U+00A0>용흥리 859-1<U+00A0>전북 완주군 용진면"
"1","전주시 경원동2","이랜드파크 외식 전주 NC웨이브점[평일/오픈조/09:30~] 수사 전주NC점 주방 모집","09:30~16:00","시급8,350","57분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","1명","3개월~6개월","월~금","2019년 5월 10일(금) ~ 상시모집","전북 전주시 완산구 전주객사5길 35<U+00A0>(고사동) 3층 수사<U+00A0>전북 전주시 완산구 경원동2가"
"1","전주시 경원동2","이랜드파크 외식 전주 NC웨이브점[주말/마감조/16:30~] 수사 전주NC점 주방 모집","16:30~22:00","시급8,350","58분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","2명","3개월~6개월","주말","2019년 5월 10일(금) ~ 상시모집","전북 전주시 완산구 전주객사5길 35<U+00A0>(고사동) 3층 수사<U+00A0>전북 전주시 완산구 경원동2가"
"1","전주시 전체","도미노피자 전주서신점도미노피자 전주서신 배달스탭 및 주방보조 모집 합니다","11:00~22:20","시급8,350","1시간전","무관(신입+경력)","성별무관","21세(1999년생) ~ 34세(1986년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","6개월~1년 (수습기간있음, 기간협의가능)","월~일 (요일협의가능)","2019년 5월 8일(수) ~ 상시모집","전북 전주시 완산구 전룡로 32<U+00A0>(서신동)<U+00A0>전북 전주시 완산구 전체"
