"1","전주시 전체","KB의특별한혜택I육아걱정끝10시-3시여성추천]자동차재계약갱신/고객센터인바운드상담/평균3-500","09:30~15:00","월급3,000,000","39분전","무관(신입+경력)","여자","28세(1992년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 위촉직(프리랜서)","00명 (100명 미만)","1년이상","월~금","2019년 5월 6일(월) ~ 상시모집","전북 전주시 완산구 홍산로 158<U+00A0>한국토지주택공사 전북본부<U+00A0>전북 전주시 완산구 전체"
"1","전주시 송천동2","GK(구 가구코리아)[GK 배송·및 설치,A/S직원구함] 40세이하,1종보통면허소지자","08:30~19:00","월급2,150,000","39분전","무관(신입+경력)","남자","20세(2000년생) ~ 40세(1980년생) 미성년자 불가","학력무관","정규직","0명 (10명 미만)","1년이상 (수습기간있음, 기간협의가능)","월~토","2019년 4월 16일(화) ~ 2019년 5월 16일(목)","전북 전주시 덕진구 동부대로 989<U+00A0>GK(구 가구코리아)<U+00A0>전북 전주시 덕진구 송천동2가"
"1","익산시 부송동","코웨이(주)【상담 및 채용업무 직원 공/개/채/용】","09:30~16:30","월급2,500,000","40분전","무관(신입+경력)","성별무관","22세 이상(1998년 이후 출생자) 고연령자 가능 미성년자 불가","학력무관","아르바이트, 계약직, 위촉직(프리랜서)","00명 (100명 미만)","1년이상 (기간협의가능)","월~금","2019년 4월 15일(월) ~ 상시모집","전북 익산시 무왕로 1182<U+00A0>(청담빌딩3층)<U+00A0>전북 익산시 부송동"
"1","전주시 팔복동2","하이트진로 전주물류센타【급구】물류출하사무 정규직 채용","07:30~17:00","월급2,000,000","40분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","정규직","0명 (10명 미만)","1년이상 (기간협의가능)","주5일 (요일협의가능)","2019년 4월 25일(목) ~ 상시모집","전북 전주시 덕진구 학산길 3<U+00A0>(하이트맥주 전주직매장)<U+00A0>전북 전주시 덕진구 팔복동2가"
"1","전주시 전체","할리스커피 전주남천교점할리스 커피 남천교점 알바모집","07:30~14:30","시급8,350","45분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","3개월~6개월","주2일","2019년 5월 2일(목) ~ 상시모집","전북 전주시 완산구 전주천서로 81<U+00A0>할리스 남천교점<U+00A0>전북 전주시 완산구 전체"
"1","군산시 나운동","롯데리아 군산나운점롯데리아 군산나운점 아르바이트모집","09:00~23:00 (로테이션)","시급8,350","52분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트, 정규직, 계약직","0명 (10명 미만)","6개월~1년","월~일 (요일협의가능)","2019년 5월 5일(일) ~ 상시모집","전북 군산시 나운안1길 1<U+00A0>(나운동)<U+00A0>전북 군산시 나운동"
"1","군산시 나운동","롯데리아 군산나운점롯데리아 군산나운점 아르바이트모집","09:00~23:00 (로테이션)","시급8,350","52분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트, 정규직, 계약직","0명 (10명 미만)","6개월~1년","월~일 (요일협의가능)","2019년 5월 5일(일) ~ 상시모집","전북 군산시 나운안1길 1<U+00A0>(나운동)<U+00A0>전북 군산시 나운동"
"1","전주시 덕진동1","OK로지스(주)초보도 가능한 야간물류 인원 모집합니다(당일지급)","19:00~07:20","일급130,000","52분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","아르바이트, 정규직, 계약직, 파견직, 인턴직","00명 (100명 미만)","1년이상 (기간협의가능)","주6일","2019년 5월 2일(목) ~ 상시모집","충북 옥천군 이원면 강청길 1<U+00A0>(창고)<U+00A0>전북 전주시 덕진구 덕진동1가"
"1","군산시 나운동","롯데리아 군산나운점롯데리아 군산나운점 아르바이트모집","09:00~23:00 (로테이션)","시급8,350","53분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트, 정규직, 계약직","0명 (10명 미만)","6개월~1년","월~일 (요일협의가능)","2019년 5월 5일(일) ~ 상시모집","전북 군산시 나운안1길 1<U+00A0>(나운동)<U+00A0>전북 군산시 나운동"
"1","전주시 금암동","세븐일레븐 전주금암원룸점평일 오후 함께 일하실 분을 찾고있습니다.","14:00~22:00","시급8,350","54분전","무관(신입+경력)","남자","20세(2000년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","아르바이트","1명","3개월~6개월","월~금","2019년 5월 6일(월) ~ 2019년 5월 20일(월)","전북 전주시 덕진구 권삼득로 209-1<U+00A0>(금암동)<U+00A0>전북 전주시 덕진구 금암동"
"1","전주시 인후동1","NS물류야간물류알바 당일 일당 기본10만원부터 최대13만원 대모집","20:00~06:00","일급120,000","54분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","아르바이트, 정규직, 계약직, 파견직, 인턴직","00명 (100명 미만)","3개월~6개월 (기간협의가능)","월~토","2019년 5월 6일(월) ~ 상시모집","전북 전주시 덕진구 건산로 125-23<U+00A0>(인후동1가)<U+00A0>전북 전주시 덕진구 인후동1가"
"1","군산시 미장동","회사차량지원,보험비전액지원당신의 열정페이는 얼마입니까? 열정만큼 드리겠습니다","08:00~18:00","월급4,500,000","56분전","무관(신입+경력)","성별무관","22세(1998년생) ~ 60세(1960년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 파견직, 위촉직(프리랜서)","3명","1년이상","월~토","2019년 5월 5일(일) ~ 2019년 5월 8일(수)
D-DAY 2 ","전북 군산시 경포천로 34<U+00A0>(군산미장휴먼시아)<U+00A0>전북 군산시 미장동"
"1","익산시 전체","(주)CJ대한통운 /지입X/초기지원[월450만원] 당신의 능력은 충분합니다. 기회가 되어 드리겠","08:00~18:00","월급4,500,000","58분전","무관(신입+경력)","성별무관","24세(1996년생) ~ 59세(1961년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 파견직","4명","1년이상","월~토","2019년 5월 5일(일) ~ 2019년 5월 10일(금)
D-DAY 4 ","소개비無/초기자본금無/경력無<U+00A0>초보가능/성별무관/외국인가능<U+00A0>전북 익산시 전체"
"1","익산시 전체","회사차량지원,보험비전액지원당신의 열정페이는 얼마입니까? 열정만큼 드리겠습니다","08:00~18:00","월급4,500,000","58분전","무관(신입+경력)","성별무관","22세(1998년생) ~ 60세(1960년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 파견직, 위촉직(프리랜서)","3명","1년이상","월~토","2019년 5월 5일(일) ~ 2019년 5월 8일(수)
D-DAY 2 ","전북 익산시 간리길 133<U+00A0>지입x/ 외국인가능/ 회사차량지원<U+00A0>전북 익산시 전체"
"1","군산시 수송동","퀸PC방 수송점수송퀸PC 평일오전 구합니다.","11:00~18:00","시급8,350","1시간전","무관(신입+경력)","여자","21세(1999년생) ~ 35세(1985년생) 미성년자 불가","학력무관","아르바이트, 정규직","1명","3개월~6개월 (기간협의가능)","월~금 (요일협의가능)","2019년 5월 1일(수) ~ 상시모집","전북 군산시 월명로 255<U+00A0>(수송동)4층 403호<U+00A0>전북 군산시 수송동"
