"1","전주시 여의동","GS25전주서부로점gs25 전주서부로점 주말 오후 아르바이트직원 구합","15:00~22:00","시급8,350","30분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","1개월~3개월 (기간협의가능)","주2일","2019년 5월 13일(월) ~ 상시모집","전북 전주시 덕진구 온고을로 480<U+00A0>(여의동)<U+00A0>전북 전주시 덕진구 여의동"
"1","전주시 효자동2","CU 효자휴먼시아점CU효자휴먼시아점 매장관리 아르바이트 모집합니다","22:00~10:00","시급8,350","31분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 45세(1975년생) 미성년자 불가","학력무관","아르바이트","1명","1년이상 (수습기간있음)","금요일","2019년 5월 13일(월) ~ 상시모집","전북 전주시 완산구 호암로 87<U+00A0>(효자휴먼시아5단지아파트)<U+00A0>전북 전주시 완산구 효자동2가"
"1","전주시 중화산동","세븐일레븐 전주신동아점아르바이트 모집","24:00~07:00","시급8,350","32분전","경력(연차무관)","남자","22세(1998년생) ~ 30세(1990년생) 미성년자 불가","대학(2,3년)졸업 이상","아르바이트, 정규직, 계약직","1명","3개월~6개월 (수습기간있음)","주3일","2019년 5월 13일(월) ~ 상시모집","전주시 완산구 메너머 1길 26-6<U+00A0>중화산동2가<U+00A0>전북 전주시 완산구 중화산동2가"
"1","전주시 여의동","GS25전주서부로점gs25 전주서부로점 주말 오전 아르바이트직원 구합","08:00~15:00","시급8,350","33분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","1개월~3개월 (기간협의가능)","주2일","2019년 5월 13일(월) ~ 상시모집","전북 전주시 덕진구 온고을로 480<U+00A0>(여의동)<U+00A0>전북 전주시 덕진구 여의동"
"1","전주시 효자동3","한국골프캐디협회골프캐디남.여(월400만)/출퇴근/사원기숙사제공","09:00~18:00","월급4,000,000","35분전","신입","성별무관","연령무관 ","고등학교 졸업 이상","정규직","00명 (100명 미만)","1년이상 (기간협의가능)","주6일 (요일협의가능)","2019년 5월 14일(화) ~ 2019년 6월 3일(월)",".<U+00A0>.<U+00A0>전북 전주시 완산구 효자동3가"
"1","전주시 전체","(주)현대렌탈케어 전주지국정수기 필터교체 케어매니저 모집(초보환영)","09:00~18:00","월급2,500,000","36분전","무관(신입+경력)","성별무관","30세(1990년생) ~ 49세(1971년생) 미성년자 불가","학력무관","위촉직(프리랜서)","3명","1년이상 (기간협의가능)","주5일","2019년 5월 13일(월) ~ 2019년 5월 17일(금)
D-DAY 3 ","전북 전주시 덕진구 동부대로 375<U+00A0>1층 현대렌탈케어<U+00A0>전북 전주시 완산구 전체"
"1","전주시 중동","도미노피자 전주혁신점전주혁신점 직원 , 배달알바 구인합니다.","11:00~22:30","시급9,500","39분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 40세(1980년생) 미성년자 불가","고등학교 졸업 이상","정규직","0명 (10명 미만)","1년이상","월, 화, 수, 목, 금, 토, 일요일","2019년 5월 11일(토) ~ 상시모집","775-2번지<U+00A0>1층 도미노피자<U+00A0>전북 전주시 덕진구 중동"
"1","전주시 중동","도미노피자 전주혁신점전주혁신점 직원 , 배달알바 구인합니다.","11:00~22:30","시급9,500","39분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 40세(1980년생) 미성년자 불가","고등학교 졸업 이상","정규직","0명 (10명 미만)","1년이상","월, 화, 수, 목, 금, 토, 일요일","2019년 5월 11일(토) ~ 상시모집","775-2번지<U+00A0>1층 도미노피자<U+00A0>전북 전주시 덕진구 중동"
"1","전주시 중동","도미노피자 전주혁신점전주혁신점 직원 , 배달알바 구인합니다.","11:00~22:30","시급9,500","40분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 40세(1980년생) 미성년자 불가","고등학교 졸업 이상","정규직","0명 (10명 미만)","1년이상","월, 화, 수, 목, 금, 토, 일요일","2019년 5월 11일(토) ~ 상시모집","775-2번지<U+00A0>1층 도미노피자<U+00A0>전북 전주시 덕진구 중동"
"1","전주시 중동","도미노피자 전주혁신점전주혁신점 직원 , 배달알바 구인합니다.","11:00~22:30","시급9,500","40분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 40세(1980년생) 미성년자 불가","고등학교 졸업 이상","정규직","0명 (10명 미만)","1년이상","월, 화, 수, 목, 금, 토, 일요일","2019년 5월 11일(토) ~ 상시모집","775-2번지<U+00A0>1층 도미노피자<U+00A0>전북 전주시 덕진구 중동"
"1","전주시 중동","도미노피자 전주혁신점전주혁신점 직원 , 배달알바 구인합니다.","11:00~22:30","시급9,500","40분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 40세(1980년생) 미성년자 불가","고등학교 졸업 이상","정규직","0명 (10명 미만)","1년이상","월, 화, 수, 목, 금, 토, 일요일","2019년 5월 11일(토) ~ 상시모집","775-2번지<U+00A0>1층 도미노피자<U+00A0>전북 전주시 덕진구 중동"
"1","전주시 평화동1","롯데리아 전주평화점롯데리아 전주평화점 배달사원 (라이더) 모집","00:00~24:00","시급8,450","44분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","00명 (100명 미만)","3개월~6개월 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 11일(토) ~ 상시모집","전북 전주시 완산구 모악로 4754<U+00A0>롯데리아 전주평화점<U+00A0>전북 전주시 완산구 평화동1가"
"1","전주시 평화동1","롯데리아 전주평화점롯데리아 전주평화점 배달사원 (라이더) 모집","00:00~24:00","시급8,450","44분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","00명 (100명 미만)","3개월~6개월 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 11일(토) ~ 상시모집","전북 전주시 완산구 모악로 4754<U+00A0>롯데리아 전주평화점<U+00A0>전북 전주시 완산구 평화동1가"
"1","전주시 평화동1","롯데리아 전주평화점롯데리아 전주평화점 배달사원 (라이더) 모집","00:00~24:00","시급8,450","44분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","00명 (100명 미만)","3개월~6개월 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 11일(토) ~ 상시모집","전북 전주시 완산구 모악로 4754<U+00A0>롯데리아 전주평화점<U+00A0>전북 전주시 완산구 평화동1가"
"1","전주시 평화동1","롯데리아 전주평화점롯데리아 전주평화점 배달사원 (라이더) 모집","00:00~24:00","시급8,450","44분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","00명 (100명 미만)","3개월~6개월 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 11일(토) ~ 상시모집","전북 전주시 완산구 모악로 4754<U+00A0>롯데리아 전주평화점<U+00A0>전북 전주시 완산구 평화동1가"
"1","전주시 송천동1","가나로지스(주)&최고의꿀알바&일당 13만원 야간 물류알바 大모집&","20:00~07:20","일급130,000","53분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 55세(1965년생) 고연령자 가능 미성년자 불가","학력무관","아르바이트, 정규직, 계약직, 파견직, 인턴직","00명 (100명 미만)","1년이상 (기간협의가능)","주6일","2019년 5월 13일(월) ~ 상시모집","전북 전주시 덕진구 가리내로 500<U+00A0>4<U+00A0>전북 전주시 덕진구 송천동1가"
"1","전주시 우아동3","세븐일레븐 전주이편한세상점세븐일레븐 이편한세상점(우아동) 주말야간 알바구함","22:00~08:00","시급8,350","54분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 40세(1980년생) 미성년자 불가","학력무관","아르바이트","1명","3개월~6개월","주말","2019년 5월 13일(월) ~ 상시모집","전북 전주시 덕진구 우아10길 17-20<U+00A0>상가1층<U+00A0>전북 전주시 덕진구 우아동3가"
"1","전주시 효자동2","정가한우전주대 앞 정가한우 오전 알바구해요","11:00~14:00","시급8,350","54분전","무관(신입+경력)","남자","23세 이상(1997년 이후 출생자) 고연령자 가능 미성년자 불가","학력무관","아르바이트, 정규직","0명 (10명 미만)","3개월~6개월 (기간협의가능)","주4일 (요일협의가능)","2019년 5월 8일(수) ~ 상시모집","전북 전주시 완산구 후곡길 5-3<U+00A0>(효자동2가) 정가한우<U+00A0>전북 전주시 완산구 효자동2가"
"1","전주시 팔복동1","CU 공단대로점(급구) 평일 야간 STAFF를 구인합니다","00:00~08:00","시급8,350","1시간전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","3개월~6개월","월~금","2019년 5월 13일(월) ~ 상시모집","전북 전주시 덕진구 기린대로 702<U+00A0>CU공단대로점<U+00A0>전북 전주시 덕진구 팔복동1가"
