"1","전주시 팔복동3","전일공구볼트사[급구]운전관리직 직원구함","09:00~18:00","월급2,200,000","7분전","무관(신입+경력)","남자","28세(1992년생) ~ 40세(1980년생) 미성년자 불가","학력무관","정규직, 계약직","0명 (10명 미만)","6개월~1년 (기간협의가능)","주6일 (요일협의가능)","2019년 5월 6일(월) ~ 상시모집","전북 전주시 덕진구 신행로 41-2<U+00A0>,<U+00A0>전북 전주시 덕진구 팔복동3가"
"1","전북 전체","steps전주 행사 진행스텝 모집합니다","08:00~22:00","일급120,000","8분전","무관(신입+경력)","성별무관","연령무관 ","고등학교 졸업 이상","아르바이트","45명","1일 (근무날짜: 5월 13일)","주1일","2019년 5월 6일(월) ~ 2019년 5월 12일(일)
D-DAY 6 ","전북 전주시 덕진구 기린대로 1055<U+00A0>(월드컵경기장)<U+00A0>전북 전체 "
"1","전주시 평화동2","행복Uplus[LGU+] 주4일근무/친구가능/망설이지마세요","09:20~20:30","월급2,500,000","13분전","무관(신입+경력)","성별무관","19세(2001년생) ~ 35세(1985년생)","학력무관","정규직","0명 (10명 미만)","1년이상 (수습기간있음, 기간협의가능)","주6일","2019년 4월 19일(금) ~ 상시모집","전북 전주시 완산구 평화로 118<U+00A0>1층 LG유플러스<U+00A0>전북 전주시 완산구 평화동2가"
"1","전주시 송천동1","행복유플러스[LGU+송천점] 주4일근무/친구가능/망설이지 마세요","09:20~20:30","월급2,500,000","17분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트, 정규직, 계약직","3명","1년이상 (수습기간있음)","주6일","2019년 4월 19일(금) ~ 상시모집","전북 전주시 덕진구 송천중앙로 160<U+00A0>1층 LG유플러스<U+00A0>전북 전주시 덕진구 송천동1가"
"1","전주시 송천동2","GS25송천센터점GS25 송천센터점 평일 야간 근무자 모집합니다.","24:00~09:00","시급8,350","18분전","무관(신입+경력)","성별무관","20세 이상(2000년 이후 출생자) 고연령자 가능 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","3개월~6개월","주3일 (요일협의가능 : 일 월 화)","2019년 5월 2일(목) ~ 2019년 5월 16일(목)","전북 전주시 덕진구 솔내로 158<U+00A0>(송천동2가)<U+00A0>전북 전주시 덕진구 송천동2가"
"1","군산시 전체","(주)CJ대한통운 /지입X/초기지원[월450만원] 당신의 능력은 충분합니다. 기회가 되어 드리겠","08:00~18:00","월급4,500,000","18분전","무관(신입+경력)","성별무관","24세(1996년생) ~ 59세(1961년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 파견직","4명","1년이상","월~토","2019년 5월 5일(일) ~ 2019년 5월 10일(금)
D-DAY 4 ","소개비無/초기자본금無/경력無<U+00A0>초보가능/성별무관/외국인가능<U+00A0>전북 군산시 전체"
"1","전주시 송천동2","GS25송천센터점GS25 송천센터점 평일 야간 근무자 모집합니다.","24:00~09:00","시급8,350","19분전","무관(신입+경력)","성별무관","20세 이상(2000년 이후 출생자) 고연령자 가능 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","3개월~6개월","주3일 (요일협의가능 : 일 월 화)","2019년 5월 2일(목) ~ 2019년 5월 16일(목)","전북 전주시 덕진구 솔내로 158<U+00A0>(송천동2가)<U+00A0>전북 전주시 덕진구 송천동2가"
"1","전주시 평화동1","맥도날드 전주 평화 DT맥도날드 전주평화DT점에서 라이더 및 크루를 모집합니다.","시간협의","시급8,350","19분전","성별 성별무관","연령 연령무관  청소년 가능","학력 학력무관","","아르바이트","00명 (100명 미만)","1년이상 (기간협의가능)","요일협의","2019년 5월 3일(금) ~ 2019년 5월 16일(목)","홈페이지www.mcalba.co.kr/m/appstrap/recruit_view.asp?idx=401994"
"1","전주시 송천동1","강남칼국수『 급 구 추 천 』 주방.홀 (여)직원 모집 《급여상담후결정","09:30~21:00","시급8,350","23분전","무관(신입+경력)","여자","20세 이상(2000년 이후 출생자) 고연령자 가능 미성년자 불가","학력무관","정규직","0명 (10명 미만)","1년이상 (기간협의가능)","주6일 (요일협의가능)","2019년 5월 6일(월) ~ 상시모집","전북 전주시 덕진구 용소로 71<U+00A0>827-8<U+00A0>전북 전주시 덕진구 송천동1가"
"1","군산시 지곡동","다사랑치킨 지곡점【급구】홀서빙 (월.화.수)3일근무 (여) 직원모집 《《《《《","17:00~02:00","시급8,400","26분전","무관(신입+경력)","여자","20세(2000년생) ~ 30세(1990년생) 미성년자 불가","학력무관","아르바이트","00명 (100명 미만)","6개월~1년 (기간협의가능)","월, 화, 수요일","2019년 5월 6일(월) ~ 상시모집","전북 군산시 지곡동 487-2<U+00A0>487-2<U+00A0>전북 군산시 지곡동"
"1","전주시 전체","COUPANG FLEX쿠팡 플렉스 / 단기알바/ 야간알바 / 주말 / 평일 / 자율근무","13:00~00:00","시급8,350","28분전","무관(신입+경력)","성별무관","20세 이상(2000년 이후 출생자) 고연령자 가능 미성년자 불가","학력무관","위촉직(프리랜서)","00명 (100명 미만)","1개월~3개월 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 6일(월) ~ 상시모집","서울 서초구<U+00A0>쿠팡 주식회사<U+00A0>전북 전주시 덕진구 전체"
"1","군산시 수송동","경성일번가(홀서빙) 정직원 및 알바 모집 / 일도 하고, 고기도 먹고","17:00~01:00","시급8,350","34분전","무관(신입+경력)","성별무관","19세(2001년생) ~ 29세(1991년생)","학력무관","아르바이트, 정규직","00명 (100명 미만)","6개월~1년 (기간협의가능)","월~일 (요일협의가능 : 요일협의 가능.)","2019년 5월 6일(월) ~ 상시모집","전북 군산시 동수송4길 14<U+00A0>경성일번가<U+00A0>전북 군산시 수송동"
"1","군산시 지곡동","GS25군산의료원본점금토일 알바구합니다.","10:00~17:00","시급8,350","35분전","무관(신입+경력)","여자","30세(1990년생) ~ 45세(1975년생) 미성년자 불가","학력무관","아르바이트","0명 (10명 미만)","3개월~6개월","금, 토, 일요일","2019년 5월 5일(일) ~ 상시모집","전북 군산시 의료원로 27<U+00A0>(군산의료원)<U+00A0>전북 군산시 지곡동"
"1","김제시 전체","시원카페[평일마감/주말마감]시간대별 바리스타 직원모집","18:00~23:00","시급8,350","35분전","무관(신입+경력)","여자","20세 이상(2000년 이후 출생자) 미성년자 불가","학력무관","아르바이트, 계약직","3명","6개월~1년 (수습기간있음, 기간협의가능)","월, 화, 수, 목, 금, 토, 일요일 (요일협의가능 : [월-금]오후6시~11시/[토-일]오후6시-11시)","2019년 5월 6일(월) ~ 상시모집","전북 김제시 하동1길 183<U+00A0>(하동)<U+00A0>전북 김제시 전체"
"1","전주시 평화동2","y-식자재마트 모악로점[급구추천] 진열 및 배달 남직원 급 구함","15:00~22:30 (로테이션)","시급8,350","37분전","무관(신입+경력)","남자","연령무관 ","학력무관","아르바이트, 정규직, 계약직","0명 (10명 미만)","1년이상 (기간협의가능)","주6일 (요일협의가능 : 주1회 화요일휴무)","2019년 5월 6일(월) ~ 상시모집","전북 전주시 완산구 모악로 4661<U+00A0>,<U+00A0>전북 전주시 완산구 평화동2가"
