"1","전주시 전체","웅진씽크빅 아중지국웅진씽크빅 교사모집/주3일가능/유아동종업계우대 정착지원금","13:00~21:00","월급1,800,000","43분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","0명 (10명 미만)","1년이상 (기간협의가능)","월~금 (요일협의가능)","2019년 5월 3일(금) ~ 2019년 5월 10일(금)
D-DAY 4 ","전북 전주시 덕진구 호성3길 22-3<U+00A0>삼육빌딩3층<U+00A0>전북 전주시 덕진구 전체"
"1","전주시 전체","웅진씽크빅 아중지국웅진씽크빅 교사모집/주3일가능/유아동종업계우대 정착지원금","13:00~21:00","월급1,800,000","43분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","0명 (10명 미만)","1년이상 (기간협의가능)","월~금 (요일협의가능)","2019년 5월 3일(금) ~ 2019년 5월 10일(금)
D-DAY 4 ","전북 전주시 덕진구 호성3길 22-3<U+00A0>삼육빌딩3층<U+00A0>전북 전주시 덕진구 전체"
"1","전북 전체","웅진씽크빅 아중지국웅진씽크빅 교사모집/공부방/부영2차 회원지원/정착지원금10","13:00~21:00","월급1,800,000","44분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","0명 (10명 미만)","1년이상 (기간협의가능)","월~금 (요일협의가능)","2019년 5월 3일(금) ~ 2019년 5월 10일(금)
D-DAY 4 ","전북 전주시 덕진구 호성3길 22-3<U+00A0>삼육빌딩3층<U+00A0>전북 전체 "
"1","전북 전체","웅진씽크빅 아중지국웅진씽크빅 교사모집/공부방/부영2차 회원지원/정착지원금10","13:00~21:00","월급1,800,000","44분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","0명 (10명 미만)","1년이상 (기간협의가능)","월~금 (요일협의가능)","2019년 5월 3일(금) ~ 2019년 5월 10일(금)
D-DAY 4 ","전북 전주시 덕진구 호성3길 22-3<U+00A0>삼육빌딩3층<U+00A0>전북 전체 "
"1","전주시 전체","웅진씽크빅 아중지국웅진씽크빅 교사모집/주3일가능/유아동종업계우대 정착지원금","13:00~21:00","월급1,800,000","45분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","0명 (10명 미만)","1년이상 (기간협의가능)","월~금 (요일협의가능)","2019년 5월 3일(금) ~ 2019년 5월 10일(금)
D-DAY 4 ","전북 전주시 덕진구 호성3길 22-3<U+00A0>삼육빌딩3층<U+00A0>전북 전주시 덕진구 전체"
"1","전주시 진북동","CU 고시점평일야간 근무자 구합니다","22:00~08:30","시급8,350","50분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","1명","6개월~1년 (기간협의가능)","월, 화, 수, 목, 일요일","2019년 5월 3일(금) ~ 상시모집","전북 전주시 덕진구 팔달로 356<U+00A0>Cu고시점<U+00A0>전북 전주시 덕진구 진북동"
"1","익산시 어양동","할리스커피 익산어양점할리스커피 평일마감(월/화/목) 근무가능자 1명 채용합니다 ","18:30~23:00","시급8,350","56분전","경력(연차무관)","성별무관","23세(1997년생) ~ 29세(1991년생) 미성년자 불가","학력무관","아르바이트","1명","6개월~1년 (수습기간있음)","수, 목, 금요일","2019년 5월 4일(토) ~ 상시모집","전북 익산시 동서로63길 4<U+00A0>(어양동)<U+00A0>전북 익산시 어양동"
"1","익산시 전체","웅진씽크빅 익산서부지국나를위한 최고의 선택(웅진씽크빅 학습센터  선생님 모집)","14:00~21:00","월급1,600,000","56분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","1명","1년이상","월~금 (요일협의가능 : 주3일)","2019년 5월 6일(월) ~ 2019년 5월 9일(목)
D-DAY 3 ","전북 익산시 선화로1길 12<U+00A0>웅진북클럽 모현 학습센터<U+00A0>전북 익산시 전체"
"1","전주시 효자동2","CU 효자휴먼시아점CU효자휴먼시아점 매장관리 아르바이트 모집합니다","22:00~10:00","시급8,350","56분전","무관(신입+경력)","남자","21세(1999년생) ~ 45세(1975년생) 미성년자 불가","학력무관","아르바이트","1명","1년이상 (수습기간있음)","금요일","2019년 5월 6일(월) ~ 상시모집","전북 전주시 완산구 호암로 87<U+00A0>(효자휴먼시아5단지아파트)<U+00A0>전북 전주시 완산구 효자동2가"
"1","익산시 전체","웅진씽크빅 익산서부지국나를위한 최고의 선택(웅진씽크빅 학습센터  선생님 모집)","14:00~21:00","월급1,600,000","56분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","1명","1년이상","월~금 (요일협의가능 : 주3일)","2019년 5월 6일(월) ~ 2019년 5월 9일(목)
D-DAY 3 ","전북 익산시 선화로1길 12<U+00A0>웅진북클럽 모현 학습센터<U+00A0>전북 익산시 전체"
"1","익산시 어양동","할리스커피 익산어양점할리스커피 평일마감(월/화/목) 근무가능자 1명 채용합니다 ","18:30~23:00","시급8,350","56분전","경력(연차무관)","성별무관","23세(1997년생) ~ 29세(1991년생) 미성년자 불가","학력무관","아르바이트","1명","6개월~1년 (수습기간있음)","수, 목, 금요일","2019년 5월 4일(토) ~ 상시모집","전북 익산시 동서로63길 4<U+00A0>(어양동)<U+00A0>전북 익산시 어양동"
"1","전주시 평화동1","롯데리아 전주평화점롯데리아 전주평화점 배달사원 (라이더) 모집","00:00~24:00","시급8,450","56분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","00명 (100명 미만)","3개월~6개월 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 4일(토) ~ 상시모집","전북 전주시 완산구 모악로 4754<U+00A0>롯데리아 전주평화점<U+00A0>전북 전주시 완산구 평화동1가"
"1","전주시 평화동1","롯데리아 전주평화점롯데리아 전주평화점 배달사원 (라이더) 모집","00:00~24:00","시급8,450","57분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","00명 (100명 미만)","3개월~6개월 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 4일(토) ~ 상시모집","전북 전주시 완산구 모악로 4754<U+00A0>롯데리아 전주평화점<U+00A0>전북 전주시 완산구 평화동1가"
"1","익산시 왕궁면","우정식당『시급11,000원』 주방직원 모집","08:00~14:00","시급11,000","57분전","경력(연차무관)","여자","연령무관 ","학력무관","아르바이트, 정규직, 계약직","1명","1년이상 (기간협의가능)","주5일","2019년 4월 30일(화) ~ 상시모집","전북 익산시 왕궁면 왕궁로 356<U+00A0>(우정식당)<U+00A0>전북 익산시 왕궁면"
"1","전주시 평화동1","롯데리아 전주평화점롯데리아 전주평화점 배달사원 (라이더) 모집","00:00~24:00","시급8,450","57분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","00명 (100명 미만)","3개월~6개월 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 4일(토) ~ 상시모집","전북 전주시 완산구 모악로 4754<U+00A0>롯데리아 전주평화점<U+00A0>전북 전주시 완산구 평화동1가"
"1","전주시 평화동1","롯데리아 전주평화점롯데리아 전주평화점 배달사원 (라이더) 모집","00:00~24:00","시급8,450","57분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","00명 (100명 미만)","3개월~6개월 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 4일(토) ~ 상시모집","전북 전주시 완산구 모악로 4754<U+00A0>롯데리아 전주평화점<U+00A0>전북 전주시 완산구 평화동1가"
"1","익산시 영등동","빽다방 익산영등제일점빽다방 익산영등제일점 알바 모집합니다.(주말)","19:30~22:30","시급8,350","57분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","6개월~1년","주말","2019년 5월 4일(토) ~ 상시모집","전북 익산시 영등동 766-2<U+00A0>빽다방 익산영등제일점<U+00A0>전북 익산시 영등동"
"1","익산시 영등동","빽다방 익산영등제일점빽다방 익산영등제일점 알바 모집합니다.","17:00~22:30","시급8,350","58분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","6개월~1년","주말","2019년 5월 4일(토) ~ 상시모집","전북 익산시 영등동 766-2<U+00A0>빽다방 익산영등제일점<U+00A0>전북 익산시 영등동"
"1","전주시 서노송동","인바운드/최고복리[lgu+ 정규직/주5일] 전주시청/면접비지급","09:00~18:00","월급2,500,000","1시간전","무관(신입+경력)","성별무관","연령무관 ","고등학교 졸업 이상","정규직","00명 (100명 미만)","1년이상","월~금","2019년 5월 6일(월) ~ 2019년 5월 17일(금)","전북 전주시 완산구 기린대로 213<U+00A0>(대우빌딩)<U+00A0>전북 전주시 완산구 서노송동"
