"1","전주시 송천동1","웅진씽크빅 송천남부지국웅진씽크빅 재택영어 화상 교사를  모집합니다.","15:00~20:00","월급1,200,000","31분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","1명","1년이상","월~금","2019년 5월 9일(목) ~ 2019년 5월 29일(수)","전북 전주시 덕진구 시천로 35<U+00A0>용진빌딩 2층 웅진씽크빅<U+00A0>전북 전주시 덕진구 송천동1가"
"1","전주시 효자동2","일본라면집【급구  /시급8350원}】【주말 알바  급구함】","18:00~22:00","시급8,350","31분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 40세(1980년생) 미성년자 불가","학력무관","아르바이트, 정규직, 계약직","0명 (10명 미만)","1년이상 (기간협의가능)","토, 일요일","2019년 5월 10일(금) ~ 상시모집","전북 전주시 완산구 홍산로 246<U+00A0>전주시 완산구 홍상로246번지<U+00A0>전북 전주시 완산구 효자동2가"
"1","군산시 구암동","군산식자재마트【급 구 /강력추천】카운  /공산품/ 야체코너 /주방 /경리  ","09:00~18:00","시급8,350","31분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트, 정규직, 계약직","0명 (10명 미만)","1년이상 (기간협의가능)","월~일 (요일협의가능)","2019년 5월 9일(목) ~ 상시모집","전북 군산시 구암3.1로 204<U+00A0>구암동<U+00A0>전북 군산시 구암동"
"1","익산시 부송동","웅진코웨이전북사업국【웅진코웨이전북사업국】 상담 및 고객관리 직원 모집","10:00~00:00","월급2,500,000","31분전","무관(신입+경력)","성별무관","23세(1997년생) ~ 60세(1960년생) 고연령자 가능 미성년자 불가","학력무관","위촉직(프리랜서)","00명 (100명 미만)","1년이상 (기간협의가능)","월~금","2019년 4월 15일(월) ~ 상시모집","전북 익산시 무왕로 1182<U+00A0>(청담빌딩3층)<U+00A0>전북 익산시 부송동"
"1","전주시 효자동3","GS25전북도청점GS25 전북도청점 스토어매니저 모집","00:00~08:00","시급8,350","32분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","1명","1년이상 (기간협의가능)","주말","2019년 5월 9일(목) ~ 상시모집","전북 전주시 완산구 홍산남로 51, 104호<U+00A0><U+00A0>전북 전주시 완산구 효자동3가"
"1","전주시 전체","(주)현대렌탈케어 전주지국정수기 필터교체 매니저 모집 (초보환영)","09:00~18:00","월급2,500,000","38분전","무관(신입+경력)","성별무관","30세(1990년생) ~ 49세(1971년생) 미성년자 불가","학력무관","위촉직(프리랜서)","2명","1년이상 (기간협의가능)","주5일","2019년 5월 9일(목) ~ 2019년 5월 13일(월)
D-DAY 3 ","전북 전주시 덕진구 동부대로 375<U+00A0>1층 현대렌탈케어<U+00A0>전북 전주시 완산구 전체"
"1","익산시 모현동2","세븐일레븐 익산부영사랑점5월 중순부터 근무할 평일 오후 구합니다","16:00~24:00","시급8,350","45분전","무관(신입+경력)","성별무관","20세 이상(2000년 이후 출생자) 고연령자 가능 미성년자 불가","학력무관","아르바이트","1명","3개월~6개월","월~금","2019년 5월 8일(수) ~ 상시모집","전북 익산시 선화로1길 57-35<U+00A0>부영2차 상가동 104, 105호<U+00A0>전북 익산시 모현동2가"
"1","군산시 경암동","맥도날드 이마트군산점#0259 군산이마트점 맥도날드에서 함께일할 크루분들을 모집","시간협의","시급8,350","46분전","성별 성별무관","연령 연령무관 ","학력 학력무관","","아르바이트","00명 (100명 미만)","1년이상 (기간협의가능)","요일협의","2019년 5월 8일(수) ~ 2019년 5월 21일(화)","홈페이지www.mcalba.co.kr/m/appstrap/recruit_view.asp?idx=402614"
"1","군산시 나운3동","맥도날드 군산 나운 DT맥도날드 군산나운DT점  휴학 크루 모집","시간협의","시급8,350","46분전","성별 성별무관","연령 연령무관 ","학력 학력무관","","아르바이트","00명 (100명 미만)","1년이상 (기간협의가능)","요일협의","2019년 5월 8일(수) ~ 2019년 5월 21일(화)","홈페이지www.mcalba.co.kr/m/appstrap/recruit_view.asp?idx=402616"
"1","군산시 나운3동","맥도날드 군산 나운 DT맥도날드 군산나운DT점  휴학 크루 모집","시간협의","시급8,350","46분전","성별 성별무관","연령 연령무관 ","학력 학력무관","","아르바이트","00명 (100명 미만)","1년이상 (기간협의가능)","요일협의","2019년 5월 8일(수) ~ 2019년 5월 21일(화)","홈페이지www.mcalba.co.kr/m/appstrap/recruit_view.asp?idx=402615"
"1","익산시 영등동","맥도날드 익산 영등 DT○ 맥도날드 익산영등DT점 직원 채용 공고(크루, 라이더) ○","시간협의","시급8,350","46분전","성별 성별무관","연령 연령무관  청소년 가능","학력 학력무관","","아르바이트","00명 (100명 미만)","1년이상 (기간협의가능)","요일협의","2019년 5월 8일(수) ~ 2019년 5월 20일(월)","홈페이지www.mcalba.co.kr/m/appstrap/recruit_view.asp?idx=402545"
"1","익산시 모현동1","익산모현스타벅스 익산모현점 바리스타 채용","07:00~24:00 (로테이션)","시급8,500","52분전","무관(신입+경력)","성별무관","연령무관 ","고등학교 졸업 이상","정규직","0명 (10명 미만)","1년이상","주5일","2019년 5월 7일(화) ~ 상시모집","전북 익산시 선화로 106<U+00A0>스타벅스 익산모현점<U+00A0>전북 익산시 모현동1가"
"1","완주군 봉동읍","채선당 불고기 쌈밥  전북봉동점아르바이트모집","11:00~15:00 (로테이션)","시급8,350","53분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","1년이상","주6일 (요일협의가능 : 시간협의가능)","2019년 5월 6일(월) ~ 상시모집","전북 완주군 봉동읍 과학로 1025<U+00A0>채선당<U+00A0>전북 완주군 봉동읍"
"1","완주군 봉동읍","채선당 불고기 쌈밥  전북봉동점아르바이트모집","11:00~15:00 (로테이션)","시급8,350","53분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","1년이상","주6일 (요일협의가능 : 시간협의가능)","2019년 5월 6일(월) ~ 상시모집","전북 완주군 봉동읍 과학로 1025<U+00A0>채선당<U+00A0>전북 완주군 봉동읍"
"1","전주시 중화산동","면접즉시채용/바짝벌어창업/내집마련[ 추가 2명 ] 27살도 월 550벌고 6시 칼퇴 해요 / 물량多","08:00~18:00","월급5,000,000","54분전","무관(신입+경력)","성별무관","22세(1998년생) ~ 58세(1962년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 파견직","2명","1년이상","월~토","2019년 5월 9일(목) ~ 2019년 5월 17일(금)
D-DAY 7 ","전북 전주시 완산구 따박골9길 33<U+00A0>신불가능/외국인가능F4,F5/초보/여성/동반근무가능<U+00A0>전북 전주시 완산구 중화산동2가"
"1","전주시 삼천동2","CU 전주해성점전주해성점에서 근무할 근무자분 구합니다.","18:00~24:30","시급8,350","56분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","1명","3개월~6개월","목, 금요일","2019년 5월 8일(수) ~ 상시모집","전북 전주시 완산구 계룡산길 90<U+00A0>CU전주해성점<U+00A0>전북 전주시 완산구 삼천동2가"
"1","전주시 덕진동1","세븐일레븐 전주덕진기린대로점[주말 아침 파트타임] 세븐일레븐 기린대로점 토, 일 아침 근","09:00~15:00","시급8,350","1시간전","경력(연차무관)","성별무관","20세(2000년생) ~ 35세(1985년생) 미성년자 불가","학력무관","아르바이트","1명","1개월~3개월 (기간협의가능)","주말","2019년 5월 9일(목) ~ 2019년 5월 15일(수)
D-DAY 5 ","전북 전주시 덕진구 기린대로 460<U+00A0>1층<U+00A0>전북 전주시 덕진구 덕진동1가"
