"1","전주시 전체","LG전자케어솔루션 남전주사무소LG전자케어솔루션 남전주사무소케어솔루션매니저모집","09:00~18:00","월급2,400,000","35분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 50세(1970년생) 미성년자 불가","고등학교 졸업 이상","위촉직(프리랜서)","0명 (10명 미만)","1년이상","월~토","2019년 5월 8일(수) ~ 상시모집","전북 전주시 완산구 백제대로 364<U+00A0>(서신동) 하이프라자2층 HC남전주사무소<U+00A0>전북 전주시 완산구 전체"
"1","전주시 효자동1","근무 차량 지원 (보험 서비스)【배송】 【월 평균 500만원】 【지입차 X】 【아파트 구역】","08:00~18:00","월급5,000,000","39분전","무관(신입+경력)","성별무관","23세(1997년생) ~ 65세(1955년생) 고연령자 가능 미성년자 불가","학력무관","계약직","2명","1년이상 (기간협의가능)","월~토","2019년 5월 11일(토) ~ 2019년 5월 30일(목)","거주지 우선 배차<U+00A0>상담시 업무 가능 지역 확인<U+00A0>전북 전주시 완산구 효자동1가"
"1","전주시 인후동2","라뽀에스테틱+라뽀에스테틱+ 피부관리사 모집~ 직원 및 아르바이트 모집","08:30~19:30","시급8,350","39분전","무관(신입+경력)","여자","연령무관 ","학력무관","아르바이트, 정규직, 계약직","0명 (10명 미만)","6개월~1년 (기간협의가능)","주6일 (요일협의가능)","2019년 5월 11일(토) ~ 상시모집","전북 전주시 덕진구 인후3길 34-6<U+00A0>한별여성병원3층 라뽀에스테틱<U+00A0>전북 전주시 덕진구 인후동2가"
"1","전주시 금암동","근무 차량 지원 (보험 서비스)【배송】 【월 평균 500만원】 【지입차 X】 【아파트 구역】","08:00~18:00","월급5,000,000","39분전","무관(신입+경력)","성별무관","23세(1997년생) ~ 65세(1955년생) 고연령자 가능 미성년자 불가","학력무관","계약직","2명","1년이상 (기간협의가능)","월~토","2019년 5월 11일(토) ~ 2019년 5월 30일(목)","거주지 우선 배차<U+00A0>상담시 업무 가능 지역 확인<U+00A0>전북 전주시 덕진구 금암동"
"1","익산시 모현동1","근무 차량 지원 (보험 서비스)【배송】 【월 평균 500만원】 【지입차 X】 【아파트 구역】","08:00~18:00","월급5,000,000","39분전","무관(신입+경력)","성별무관","23세(1997년생) ~ 65세(1955년생) 고연령자 가능 미성년자 불가","학력무관","계약직","2명","1년이상 (기간협의가능)","월~토","2019년 5월 11일(토) ~ 2019년 5월 30일(목)","거주지 우선 배차<U+00A0>상담시 업무 가능 지역 확인<U+00A0>전북 익산시 모현동1가"
"1","전주시 송천동1","웅진씽크빅 송천남부지국송천동   동산동  공부방교사를  모집합니다.","15:00~20:00","월급1,200,000","42분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","1명","1년이상","월~금","2019년 5월 7일(화) ~ 2019년 5월 27일(월)","전북 전주시 덕진구 시천로 35<U+00A0>용진빌딩 2층 웅진씽크빅<U+00A0>전북 전주시 덕진구 송천동1가"
"1","군산시 나운동","GS25군산삼성점Gs편의점에서 가족같이 일할분을 찾습니다","23:00~08:00","시급8,350","43분전","무관(신입+경력)","성별무관","20세(2000년생) ~ 45세(1975년생) 미성년자 불가","학력무관","아르바이트","1명","3개월~6개월 (기간협의가능)","주2일","2019년 5월 10일(금) ~ 상시모집","전북 군산시 나운3길 6<U+00A0>Ga편의점<U+00A0>전북 군산시 나운동"
"1","익산시 인화동","2종오토가능 -5kg미만소화물배송긴급채용【지입X】-5kg소화물택배배송매니저(교포/초보자/여","07:00~18:00","월급4,500,000","43분전","무관(신입+경력)","성별무관","23세(1997년생) ~ 60세(1960년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 파견직, 위촉직(프리랜서)","3명","1년이상","월~토","2019년 5월 11일(토) ~ 상시모집","#익산시 1개동담당#<U+00A0>#거주지인근배정#<U+00A0>전북 익산시 인화동"
"1","전주시 송천동1","웅진씽크빅 송천남부지국웅진씽크빅 재택영어 화상 교사를  모집합니다.","15:00~20:00","월급1,200,000","46분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","1명","1년이상","월~금","2019년 5월 9일(목) ~ 2019년 5월 29일(수)","전북 전주시 덕진구 시천로 35<U+00A0>용진빌딩 2층 웅진씽크빅<U+00A0>전북 전주시 덕진구 송천동1가"
"1","전주시 송천동1","웅진씽크빅 송천남부지국송천동   동산동  공부방교사를  모집합니다.","15:00~20:00","월급1,200,000","46분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","1명","1년이상","월~금","2019년 5월 9일(목) ~ 2019년 5월 29일(수)","전북 전주시 덕진구 시천로 35<U+00A0>용진빌딩 2층 웅진씽크빅<U+00A0>전북 전주시 덕진구 송천동1가"
